"V1","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"41","3.6","6.1","23.72","","","","","","","","",""
"42","3.6","6.1","23.72","","","","","","","","",""
"43","8.3","6.1","23.71","","","","","","","","",""
"44","3.7","6.1","23.71","","","","","","","","",""
"45","6.4","6.1","23.69","","","","","","","","",""
"46","3.6","6.1","23.68","","","","","","","","",""
"47","3.7","17.5","23.64","","","","","","","","",""
"48","3.6","17.5","23.69","","","","","","","","",""
"49","37.1","6.1","23.77","","","","","","","","",""
"50","6.1","12.6","23.77","","","","","","","","",""
"51","24.8","26.3","23.77","","","","","","","","",""
"52","24.8","6.1","23.77","","","","","","","","",""
"53","24.8","17.5","23.77","","","","","","","","",""
"54","8.3","6.1","23.77","","","","","","","","",""
"55","24.8","17.5","23.77","","","","","","","","",""
"56","24.8","17.5","23.77","","","","","","","","",""
"57","24.8","17.5","23.77","","","","","","","","",""
"58","24.8","17.5","23.77","","","","","","","","",""
"59","24.8","6.1","23.77","","","","","","","","",""
"60","8.3","17.5","23.77","","","","","","","","",""
"61","24.8","17.5","23.77","","","","","","","","",""
"62","24.8","6.1","23.76","","","","","","","","",""
"63","8.3","6.1","23.77","","","","","","","","",""
"64","8.3","6.1","23.77","","","","","","","","",""
"65","8.3","17.5","23.77","","","","","","","","",""
"66","24.8","6.1","23.77","","","","","","","","",""
"67","24.8","17.5","23.77","","","","","","","","",""
"68","8.3","17.5","23.79","","","","","","","","",""
"69","8.3","6.1","23.80","","","","","","","","",""
"70","24.8","6.1","23.80","","","","","","","","",""
"71","6.4","17.5","23.80","","","","","","","","",""
"72","24.8","12.6","23.81","","","","","","","","",""
"73","8.3","6.1","23.81","","","","","","","","",""
"74","8.3","17.5","23.81","","","","","","","","",""
"75","6.4","17.5","23.81","","","","","","","","",""
"76","6.4","17.5","23.81","","","","","","","","",""
"77","3.7","17.5","23.81","","","","","","","","",""
"78","24.8","6.1","23.81","","","","","","","","",""
"79","8.3","17.5","23.81","","","","","","","","",""
"80","8.3","26.3","23.81","","","","","","","","",""
"81","8.3","6.1","23.83","","","","","","","","",""
"82","6.4","17.5","23.81","","","","","","","","",""
"83","24.8","6.1","23.81","","","","","","","","",""
"84","8.3","6.1","23.81","","","","","","","","",""
"85","8.3","26.3","23.81","","","","","","","","",""
"86","8.3","6.1","23.81","","","","","","","","",""
"87","8.3","6.1","23.83","","","","","","","","",""
"88","8.3","6.1","23.83","","","","","","","","",""
"89","24.8","6.1","23.84","","","","","","","","",""
"90","8.3","6.1","23.84","","","","","","","","",""
"91","8.3","26.3","23.84","","","","","","","","",""
"92","3.7","17.5","23.84","","","","","","","","",""
"93","24.8","6.1","23.84","","","","","","","","",""
"94","8.3","6.1","23.85","","","","","","","","",""
"95","8.3","6.1","23.84","","","","","","","","",""
"96","8.3","6.1","23.84","","","","","","","","",""
"97","8.3","6.1","23.84","","","","","","","","",""
"98","6.4","6.1","23.83","","","","","","","","",""
"99","8.3","6.1","23.83","","","","","","","","",""
"100","3.7","6.1","23.81","","","","","","","","",""
"101","8.3","17.5","23.81","","","","","","","","",""
"102","8.3","6.1","23.80","","","","","","","","",""
"103","2.5","6.1","23.80","","","","","","","","",""
"104","8.3","17.5","23.80","","","","","","","","",""
"105","8.3","6.1","23.80","","","","","","","","",""
"106","6.4","6.1","23.80","","","","","","","","",""
"107","8.3","6.1","23.80","","","","","","","","",""
"108","3.7","6.1","23.80","","","","","","","","",""
"109","8.3","6.1","23.79","","","","","","","","",""
"110","8.3","6.1","23.80","","","","","","","","",""
"111","8.3","6.1","23.80","","","","","","","","",""
"112","3.7","6.1","23.80","","","","","","","","",""
"113","8.3","6.1","23.81","","","","","","","","",""
"114","3.7","17.5","23.81","","","","","","","","",""
"115","8.3","6.1","23.81","","","","","","","","",""
"116","6.4","6.1","23.81","","","","","","","","",""
"117","8.3","17.5","23.81","","","","","","","","",""
"118","3.7","6.1","23.83","","","","","","","","",""
"119","8.3","6.1","23.83","","","","","","","","",""
"120","8.3","6.1","23.84","","","","","","","","",""
"121","6.4","6.1","23.84","","","","","","","","",""
"122","3.7","6.1","23.84","","","","","","","","",""
"123","6.4","6.1","23.83","","","","","","","","",""
"124","3.7","6.1","23.76","","","","","","","","",""
"125","8.3","6.1","23.73","","","","","","","","",""
"126","3.7","6.1","23.76","","","","","","","","",""
"127","3.6","6.1","23.69","","","","","","","","",""
"128","3.7","6.1","23.72","","","","","","","","",""
"129","168.7","193.0","21.02","","","","","","","","",""
"130","190.0","216.5","21.69","","","","","","","","",""
"131","199.1","227.4","21.87","","","","","","","","",""
"132","224.7","258.8","22.09","","","","","","","","",""
"133","132.0","136.5","18.87","","","","","","","","",""
"134","131.7","136.5","18.51","","","","","","","","",""
"135","129.9","134.6","18.41","","","","","","","","",""
"136","127.6","131.9","18.25","","","","","","","","",""
"137","127.4","131.5","18.29","","","","","","","","",""
"138","126.7","131.1","18.15","","","","","","","","",""
"139","127.3","131.9","18.15","","","","","","","","",""
"140","126.4","130.8","18.07","","","","","","","","",""
"141","125.8","130.0","18.07","","","","","","","","",""
"142","126.1","130.4","18.06","","","","","","","","",""
"143","125.4","129.6","18.02","","","","","","","","",""
"144","125.3","129.6","18.03","","","","","","","","",""
"145","125.6","129.6","17.99","","","","","","","","",""
"146","124.6","128.8","17.93","","","","","","","","",""
"147","124.1","128.1","17.93","","","","","","","","",""
"148","125.1","129.2","17.95","","","","","","","","",""
"149","125.4","129.2","17.97","","","","","","","","",""
"150","124.8","128.8","17.93","","","","","","","","",""
"151","125.5","129.6","17.93","","","","","","","","",""
"152","124.9","129.2","17.93","","","","","","","","",""
"153","124.3","128.5","17.89","","","","","","","","",""
"154","124.7","128.8","17.91","","","","","","","","",""
"155","124.8","128.9","17.89","","","","","","","","",""
"156","124.3","128.5","17.87","","","","","","","","",""
"157","124.0","127.7","17.86","","","","","","","","",""
"158","124.2","128.5","17.86","","","","","","","","",""
"159","124.3","128.5","17.85","","","","","","","","",""
"160","124.3","128.5","17.85","","","","","","","","",""
"161","123.9","127.7","17.84","","","","","","","","",""
"162","123.9","127.7","17.82","","","","","","","","",""
"163","124.2","128.1","17.84","","","","","","","","",""
"164","124.4","128.1","17.84","","","","","","","","",""
"165","124.0","128.1","17.82","","","","","","","","",""
"166","123.5","127.3","17.78","","","","","","","","",""
"167","123.8","127.7","17.81","","","","","","","","",""
"168","123.4","126.9","17.80","","","","","","","","",""
"169","123.6","127.7","17.80","","","","","","","","",""
"170","123.8","127.7","17.80","","","","","","","","",""
"171","124.3","128.5","17.80","","","","","","","","",""
"172","124.0","127.7","17.80","","","","","","","","",""
"173","123.9","128.1","17.80","","","","","","","","",""
"174","123.6","127.7","17.78","","","","","","","","",""
"175","123.3","127.3","17.77","","","","","","","","",""
"176","123.8","127.7","17.77","","","","","","","","",""
"177","123.8","127.7","17.78","","","","","","","","",""
"178","123.7","127.7","17.78","","","","","","","","",""
"179","123.4","127.3","17.76","","","","","","","","",""
"180","123.5","127.7","17.77","","","","","","","","",""
"181","123.3","127.3","17.77","","","","","","","","",""
"182","123.6","127.7","17.78","","","","","","","","",""
"183","123.5","127.3","17.77","","","","","","","","",""
"184","123.7","127.7","17.77","","","","","","","","",""
"185","123.4","127.3","17.78","","","","","","","","",""
"186","123.5","127.3","17.77","","","","","","","","",""
"187","123.5","127.3","17.77","","","","","","","","",""
"188","123.5","126.9","17.77","","","","","","","","",""
"189","123.5","127.3","17.77","","","","","","","","",""
"190","123.5","127.3","17.77","","","","","","","","",""
"191","123.5","127.3","17.77","","","","","","","","",""
"192","123.4","126.9","17.77","","","","","","","","",""
"193","123.3","126.9","17.76","","","","","","","","",""
"194","123.2","126.5","17.76","","","","","","","","",""
"195","123.4","126.9","17.77","","","","","","","","",""
"196","123.5","127.3","17.77","","","","","","","","",""
"197","123.3","126.9","17.77","","","","","","","","",""
"198","123.2","126.5","17.77","","","","","","","","",""
"199","123.4","127.3","17.77","","","","","","","","",""
"200","123.3","127.3","17.77","","","","","","","","",""
"201","123.4","127.3","17.77","","","","","","","","",""
"202","123.5","127.3","17.77","","","","","","","","",""
"203","123.5","127.3","17.77","","","","","","","","",""
"204","123.5","126.9","17.77","","","","","","","","",""
"205","123.4","127.3","17.77","","","","","","","","",""
"206","123.6","127.3","17.77","","","","","","","","",""
"207","123.3","126.5","17.77","","","","","","","","",""
"208","123.3","126.9","17.77","","","","","","","","",""
"209","123.5","127.3","17.77","","","","","","","","",""
"210","123.4","127.3","17.77","","","","","","","","",""
"211","123.2","126.9","17.77","","","","","","","","",""
"212","123.3","127.3","17.77","","","","","","","","",""
"213","123.2","126.5","17.77","","","","","","","","",""
"214","123.3","126.5","17.78","","","","","","","","",""
"215","123.3","126.9","17.77","","","","","","","","",""
"216","123.3","126.9","17.77","","","","","","","","",""
"217","123.2","126.9","17.78","","","","","","","","",""
"218","123.4","126.9","17.77","","","","","","","","",""
"219","123.3","126.5","17.77","","","","","","","","",""
"220","123.2","126.5","17.78","","","","","","","","",""
"221","123.4","126.9","17.78","","","","","","","","",""
"222","123.4","126.9","17.78","","","","","","","","",""
"223","123.3","126.9","17.78","","","","","","","","",""
"224","123.2","126.5","17.78","","","","","","","","",""
"225","123.2","126.9","17.78","","","","","","","","",""
"226","123.2","126.9","17.78","","","","","","","","",""
"227","123.2","126.9","17.78","","","","","","","","",""
"228","123.2","126.5","17.78","","","","","","","","",""
"229","123.2","126.5","17.80","","","","","","","","",""
"230","123.2","126.5","17.78","","","","","","","","",""
"231","123.3","126.5","17.80","","","","","","","","",""
"232","123.4","126.9","17.80","","","","","","","","",""
"233","123.5","127.3","17.80","","","","","","","","",""
"234","123.4","127.3","17.80","","","","","","","","",""
"235","123.3","126.5","17.81","","","","","","","","",""
"236","123.3","126.9","17.80","","","","","","","","",""
"237","123.4","126.9","17.80","","","","","","","","",""
"238","123.3","126.5","17.80","","","","","","","","",""
"239","123.2","126.5","17.81","","","","","","","","",""
"240","123.3","126.9","17.81","","","","","","","","",""
"241","123.3","126.5","17.81","","","","","","","","",""
"242","123.4","126.5","17.81","","","","","","","","",""
"243","123.3","126.9","17.81","","","","","","","","",""
"244","123.4","126.9","17.81","","","","","","","","",""
"245","123.3","126.9","17.81","","","","","","","","",""
"246","123.5","126.9","17.81","","","","","","","","",""
"247","123.3","126.9","17.81","","","","","","","","",""
"248","123.5","126.9","17.81","","","","","","","","",""
"249","123.5","126.9","17.82","","","","","","","","",""
"250","123.5","126.9","17.81","","","","","","","","",""
"251","123.3","126.9","17.81","","","","","","","","",""
"252","123.4","126.5","17.82","","","","","","","","",""
"253","123.3","126.9","17.81","","","","","","","","",""
"254","123.4","126.9","17.81","","","","","","","","",""
"255","123.3","126.9","17.81","","","","","","","","",""
"256","123.4","126.9","17.82","","","","","","","","",""
"257","123.4","126.9","17.82","","","","","","","","",""
"258","123.3","126.5","17.82","","","","","","","","",""
"259","123.3","127.3","17.82","","","","","","","","",""
"260","123.3","126.5","17.82","","","","","","","","",""
"261","123.4","126.9","17.82","","","","","","","","",""
"262","123.3","126.9","17.82","","","","","","","","",""
"263","123.3","126.9","17.82","","","","","","","","",""
"264","123.3","126.5","17.82","","","","","","","","",""
"265","123.4","126.9","17.82","","","","","","","","",""
"266","123.5","126.9","17.82","","","","","","","","",""
"267","123.4","126.5","17.84","","","","","","","","",""
"268","123.4","126.9","17.84","","","","","","","","",""
"269","123.5","126.9","17.84","","","","","","","","",""
"270","123.4","126.9","17.84","","","","","","","","",""
"271","123.5","126.9","17.82","","","","","","","","",""
"272","123.5","126.9","17.84","","","","","","","","",""
"273","123.4","126.5","17.84","","","","","","","","",""
"274","123.5","126.9","17.84","","","","","","","","",""
"275","123.4","126.9","17.84","","","","","","","","",""
"276","123.4","126.9","17.84","","","","","","","","",""
"277","123.5","126.9","17.84","","","","","","","","",""
"278","123.4","126.9","17.84","","","","","","","","",""
"279","123.5","126.9","17.84","","","","","","","","",""
"280","123.4","126.5","17.84","","","","","","","","",""
"281","123.5","126.9","17.84","","","","","","","","",""
"282","123.4","126.9","17.84","","","","","","","","",""
"283","123.5","126.5","17.84","","","","","","","","",""
"284","123.5","126.9","17.84","","","","","","","","",""
"285","123.5","126.9","17.85","","","","","","","","",""
"286","123.4","127.3","17.85","","","","","","","","",""
"287","123.5","126.9","17.85","","","","","","","","",""
"288","123.5","126.9","17.85","","","","","","","","",""
"289","123.5","126.9","17.85","","","","","","","","",""
"290","123.5","126.9","17.84","","","","","","","","",""
"291","123.5","126.9","17.85","","","","","","","","",""
"292","123.4","126.9","17.85","","","","","","","","",""
"293","123.4","126.9","17.85","","","","","","","","",""
"294","123.5","126.9","17.85","","","","","","","","",""
"295","123.4","127.3","17.85","","","","","","","","",""
"296","123.4","126.9","17.85","","","","","","","","",""
"297","123.5","126.9","17.85","","","","","","","","",""
"298","123.4","126.5","17.85","","","","","","","","",""
"299","123.4","126.9","17.85","","","","","","","","",""
"300","123.4","126.9","17.85","","","","","","","","",""
"301","123.5","126.9","17.85","","","","","","","","",""
"302","123.5","126.9","17.85","","","","","","","","",""
"303","123.5","126.9","17.85","","","","","","","","",""
"304","123.5","126.9","17.85","","","","","","","","",""
"305","123.5","126.9","17.85","","","","","","","","",""
"306","123.5","126.9","17.85","","","","","","","","",""
"307","123.5","127.3","17.85","","","","","","","","",""
"308","123.5","126.9","17.85","","","","","","","","",""
"309","123.4","126.9","17.85","","","","","","","","",""
"310","123.5","126.9","17.85","","","","","","","","",""
"311","123.5","126.9","17.85","","","","","","","","",""
"312","123.6","126.9","17.86","","","","","","","","",""
"313","123.5","126.9","17.85","","","","","","","","",""
"314","123.5","126.9","17.85","","","","","","","","",""
"315","123.5","127.3","17.85","","","","","","","","",""
"316","123.5","126.9","17.86","","","","","","","","",""
"317","123.5","126.9","17.86","","","","","","","","",""
"318","123.6","126.9","17.85","","","","","","","","",""
"319","123.6","126.9","17.86","","","","","","","","",""
"320","123.6","126.9","17.86","","","","","","","","",""
"321","123.5","126.9","17.86","","","","","","","","",""
"322","123.6","126.9","17.86","","","","","","","","",""
"323","123.6","126.9","17.86","","","","","","","","",""
"324","123.6","126.9","17.86","","","","","","","","",""
"325","123.6","126.9","17.86","","","","","","","","",""
"326","123.6","127.3","17.86","","","","","","","","",""
"327","123.6","126.9","17.86","","","","","","","","",""
"328","123.6","127.3","17.86","","","","","","","","",""
"329","123.6","126.9","17.86","","","","","","","","",""
"330","123.6","126.9","17.86","","","","","","","","",""
"331","123.6","126.9","17.86","","","","","","","","",""
"332","123.6","126.9","17.86","","","","","","","","",""
"333","123.6","126.9","17.86","","","","","","","","",""
"334","123.6","126.9","17.86","","","","","","","","",""
"335","123.7","126.9","17.86","","","","","","","","",""
"336","123.6","126.9","17.86","","","","","","","","",""
"337","123.6","127.3","17.86","","","","","","","","",""
"338","123.6","126.9","17.87","","","","","","","","",""
"339","123.7","126.9","17.86","","","","","","","","",""
"340","123.6","126.9","17.86","","","","","","","","",""
"341","123.7","126.9","17.86","","","","","","","","",""
"342","123.6","127.3","17.87","","","","","","","","",""
"343","123.7","126.9","17.86","","","","","","","","",""
"344","123.6","126.9","17.86","","","","","","","","",""
"345","123.6","126.9","17.86","","","","","","","","",""
"346","123.7","126.9","17.86","","","","","","","","",""
"347","123.6","126.9","17.86","","","","","","","","",""
"348","123.7","126.9","17.86","","","","","","","","",""
"349","123.7","126.9","17.87","","","","","","","","",""
"350","123.7","126.9","17.86","","","","","","","","",""
"351","123.7","126.9","17.86","","","","","","","","",""
"352","123.7","126.9","17.86","","","","","","","","",""
"353","123.7","126.9","17.87","","","","","","","","",""
"354","123.7","127.3","17.86","","","","","","","","",""
"355","123.7","126.9","17.86","","","","","","","","",""
"356","123.7","126.9","17.86","","","","","","","","",""
"357","123.7","126.9","17.86","","","","","","","","",""
"358","123.7","126.9","17.86","","","","","","","","",""
"359","123.7","127.3","17.86","","","","","","","","",""
"360","123.7","126.9","17.87","","","","","","","","",""
"361","123.6","126.9","17.87","","","","","","","","",""
"362","123.7","126.9","17.87","","","","","","","","",""
"363","123.7","126.9","17.87","","","","","","","","",""
"364","123.7","127.3","17.87","","","","","","","","",""
"365","123.7","126.9","17.87","","","","","","","","",""
"366","123.7","127.3","17.87","","","","","","","","",""
"367","123.7","126.9","17.87","","","","","","","","",""
"368","123.7","126.9","17.87","","","","","","","","",""
"369","123.7","126.9","17.87","","","","","","","","",""
"370","123.7","127.3","17.87","","","","","","","","",""
"371","123.7","127.3","17.87","","","","","","","","",""
"372","123.7","126.9","17.87","","","","","","","","",""
"373","123.7","127.3","17.87","","","","","","","","",""
"374","123.7","126.9","17.89","","","","","","","","",""
"375","123.8","126.9","17.89","","","","","","","","",""
"376","123.7","126.9","17.89","","","","","","","","",""
"377","123.7","126.9","17.89","","","","","","","","",""
"378","123.7","126.9","17.89","","","","","","","","",""
"379","123.7","126.9","17.89","","","","","","","","",""
"380","123.7","126.9","17.89","","","","","","","","",""
"381","123.7","126.9","17.89","","","","","","","","",""
"382","123.8","126.9","17.89","","","","","","","","",""
"383","123.7","126.9","17.89","","","","","","","","",""
"384","123.7","126.9","17.89","","","","","","","","",""
"385","123.7","127.3","17.90","","","","","","","","",""
"386","123.7","126.9","17.89","","","","","","","","",""
"387","123.8","126.9","17.89","","","","","","","","",""
"388","123.7","127.3","17.89","","","","","","","","",""
"389","123.8","127.3","17.89","","","","","","","","",""
"390","123.8","127.3","17.89","","","","","","","","",""
"391","123.8","126.9","17.89","","","","","","","","",""
"392","123.7","127.3","17.89","","","","","","","","",""
"393","123.8","126.9","17.89","","","","","","","","",""
"394","123.8","126.9","17.89","","","","","","","","",""
"395","123.8","127.3","17.89","","","","","","","","",""
"396","123.8","126.9","17.89","","","","","","","","",""
"397","123.8","126.9","17.89","","","","","","","","",""
"398","123.8","127.3","17.89","","","","","","","","",""
"399","123.8","126.9","17.89","","","","","","","","",""
"400","123.8","127.3","17.90","","","","","","","","",""
"401","123.8","126.9","17.89","","","","","","","","",""
"402","123.9","127.3","17.90","","","","","","","","",""
"403","123.8","126.9","17.89","","","","","","","","",""
"404","123.8","126.9","17.89","","","","","","","","",""
"405","123.9","127.3","17.89","","","","","","","","",""
"406","123.8","126.9","17.89","","","","","","","","",""
"407","123.8","127.3","17.90","","","","","","","","",""
"408","123.8","126.9","17.90","","","","","","","","",""
"409","123.8","126.9","17.89","","","","","","","","",""
"410","123.8","127.3","17.89","","","","","","","","",""
"411","123.9","127.3","17.90","","","","","","","","",""
"412","123.9","127.7","17.90","","","","","","","","",""
"413","123.8","127.3","17.90","","","","","","","","",""
"414","123.8","127.3","17.90","","","","","","","","",""
"415","123.9","126.9","17.89","","","","","","","","",""
"416","123.8","127.3","17.90","","","","","","","","",""
"417","123.9","127.3","17.89","","","","","","","","",""
"418","123.9","126.9","17.89","","","","","","","","",""
"419","124.0","127.3","17.89","","","","","","","","",""
"420","123.8","127.3","17.90","","","","","","","","",""
"421","123.9","127.3","17.90","","","","","","","","",""
"422","123.8","127.3","17.89","","","","","","","","",""
"423","123.9","127.3","17.90","","","","","","","","",""
"424","123.9","126.9","17.89","","","","","","","","",""
"425","123.9","127.3","17.90","","","","","","","","",""
"426","123.9","127.3","17.89","","","","","","","","",""
"427","123.9","126.9","17.90","","","","","","","","",""
"428","123.8","127.3","17.89","","","","","","","","",""
"429","123.8","127.3","17.90","","","","","","","","",""
"430","123.9","127.3","17.90","","","","","","","","",""
"431","123.9","126.9","17.90","","","","","","","","",""
"432","123.9","126.9","17.90","","","","","","","","",""
"433","123.9","127.3","17.89","","","","","","","","",""
"434","123.9","127.3","17.90","","","","","","","","",""
"435","123.9","127.3","17.90","","","","","","","","",""
"436","123.9","127.3","17.90","","","","","","","","",""
"437","123.9","127.3","17.90","","","","","","","","",""
"438","123.9","127.3","17.89","","","","","","","","",""
"439","123.9","127.3","17.90","","","","","","","","",""
"440","123.9","127.3","17.90","","","","","","","","",""
"441","123.9","127.3","17.90","","","","","","","","",""
"442","123.9","127.7","17.89","","","","","","","","",""
"443","124.0","127.3","17.90","","","","","","","","",""
"444","124.0","127.3","17.90","","","","","","","","",""
"445","124.0","127.3","17.90","","","","","","","","",""
"446","123.9","127.3","17.90","","","","","","","","",""
"447","123.9","127.3","17.90","","","","","","","","",""
"448","123.9","127.3","17.90","","","","","","","","",""
"449","124.0","127.3","17.90","","","","","","","","",""
"450","124.0","127.3","17.90","","","","","","","","",""
"451","124.0","127.3","17.90","","","","","","","","",""
"452","124.0","127.3","17.90","","","","","","","","",""
"453","124.0","127.3","17.90","","","","","","","","",""
"454","124.0","127.3","17.90","","","","","","","","",""
"455","124.0","127.3","17.90","","","","","","","","",""
"456","124.0","127.7","17.90","","","","","","","","",""
"457","124.0","127.3","17.90","","","","","","","","",""
"458","124.0","127.7","17.90","","","","","","","","",""
"459","124.0","127.3","17.91","","","","","","","","",""
"460","124.0","127.3","17.91","","","","","","","","",""
"461","124.0","127.3","17.90","","","","","","","","",""
"462","124.0","127.3","17.90","","","","","","","","",""
"463","124.0","127.3","17.90","","","","","","","","",""
"464","124.0","127.3","17.90","","","","","","","","",""
"465","124.0","126.9","17.90","","","","","","","","",""
"466","124.0","127.3","17.90","","","","","","","","",""
"467","124.0","127.3","17.90","","","","","","","","",""
"468","124.0","127.3","17.90","","","","","","","","",""
"469","124.0","127.3","17.91","","","","","","","","",""
"470","124.0","127.3","17.90","","","","","","","","",""
"471","124.0","127.3","17.90","","","","","","","","",""
"472","124.0","127.3","17.90","","","","","","","","",""
"473","124.0","127.3","17.90","","","","","","","","",""
"474","124.0","127.3","17.91","","","","","","","","",""
"475","124.0","127.3","17.91","","","","","","","","",""
"476","124.0","127.3","17.90","","","","","","","","",""
"477","124.0","127.7","17.91","","","","","","","","",""
"478","124.0","127.3","17.91","","","","","","","","",""
"479","124.0","127.3","17.91","","","","","","","","",""
"480","124.0","127.3","17.91","","","","","","","","",""
"481","124.0","127.3","17.91","","","","","","","","",""
"482","124.0","127.7","17.91","","","","","","","","",""
"483","124.0","127.3","17.91","","","","","","","","",""
"484","124.1","127.3","17.91","","","","","","","","",""
"485","124.0","127.3","17.93","","","","","","","","",""
"486","124.0","127.3","17.91","","","","","","","","",""
"487","124.0","127.3","17.91","","","","","","","","",""
"488","124.0","127.3","17.91","","","","","","","","",""
"489","124.0","127.3","17.91","","","","","","","","",""
"490","124.0","127.3","17.93","","","","","","","","",""
"491","124.0","127.3","17.91","","","","","","","","",""
"492","124.1","127.3","17.91","","","","","","","","",""
"493","124.0","127.3","17.91","","","","","","","","",""
"494","124.0","127.3","17.91","","","","","","","","",""
"495","124.1","127.3","17.91","","","","","","","","",""
"496","124.0","127.3","17.91","","","","","","","","",""
"497","124.1","127.3","17.93","","","","","","","","",""
"498","124.1","127.7","17.93","","","","","","","","",""
"499","124.1","127.3","17.91","","","","","","","","",""
"500","124.1","127.7","17.93","","","","","","","","",""
"501","124.1","127.7","17.93","","","","","","","","",""
"502","124.1","127.3","17.93","","","","","","","","",""
"503","124.1","127.7","17.91","","","","","","","","",""
"504","124.2","127.3","17.93","","","","","","","","",""
"505","124.1","127.7","17.91","","","","","","","","",""
"506","124.1","127.3","17.93","","","","","","","","",""
"507","124.1","127.3","17.93","","","","","","","","",""
"508","124.1","127.3","17.93","","","","","","","","",""
"509","124.1","127.3","17.93","","","","","","","","",""
"510","124.1","127.3","17.93","","","","","","","","",""
"511","124.1","127.3","17.93","","","","","","","","",""
"512","124.1","127.3","17.93","","","","","","","","",""
"513","124.1","127.7","17.93","","","","","","","","",""
"514","124.2","127.3","17.93","","","","","","","","",""
"515","124.2","127.3","17.93","","","","","","","","",""
"516","124.1","127.3","17.93","","","","","","","","",""
"517","124.1","127.7","17.93","","","","","","","","",""
"518","124.2","127.3","17.93","","","","","","","","",""
"519","124.1","127.3","17.94","","","","","","","","",""
"520","124.2","127.7","17.94","","","","","","","","",""
"521","124.1","127.7","17.93","","","","","","","","",""
"522","124.2","127.3","17.93","","","","","","","","",""
"523","124.2","127.3","17.93","","","","","","","","",""
"524","124.2","127.3","17.94","","","","","","","","",""
"525","124.2","127.7","17.93","","","","","","","","",""
"526","124.2","127.3","17.94","","","","","","","","",""
"527","124.3","127.3","17.94","","","","","","","","",""
"528","124.2","127.7","17.94","","","","","","","","",""
"529","124.2","127.3","17.94","","","","","","","","",""
"530","124.2","127.7","17.94","","","","","","","","",""
"531","124.2","127.7","17.94","","","","","","","","",""
"532","124.2","127.7","17.94","","","","","","","","",""
"533","124.2","127.3","17.94","","","","","","","","",""
"534","124.2","127.3","17.94","","","","","","","","",""
"535","124.3","127.7","17.94","","","","","","","","",""
"536","124.3","127.7","17.94","","","","","","","","",""
"537","124.3","127.7","17.94","","","","","","","","",""
"538","124.2","127.7","17.95","","","","","","","","",""
"539","124.3","127.7","17.94","","","","","","","","",""
"540","124.2","127.7","17.94","","","","","","","","",""
"541","124.3","127.7","17.94","","","","","","","","",""
"542","124.2","127.7","17.95","","","","","","","","",""
"543","124.2","127.3","17.94","","","","","","","","",""
"544","124.2","127.3","17.95","","","","","","","","",""
"545","124.2","127.3","17.95","","","","","","","","",""
"546","124.2","127.7","17.94","","","","","","","","",""
"547","124.2","127.3","17.95","","","","","","","","",""
"548","124.2","127.3","17.95","","","","","","","","",""
"549","124.3","127.7","17.94","","","","","","","","",""
