"Plot Title: mgas_station_4"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458)","Full Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458, LBL: SC)","Temp, °C (LGR S/N: 10559458, SEN S/N: 10559458)","Coupler Detached (LGR S/N: 10559458)","Bad Battery (LGR S/N: 10559458)","End Of File (LGR S/N: 10559458)"
32,05/25/23 12:02:35 PM,2.8,6.6,24.28,,,
33,05/25/23 12:02:40 PM,2.7,6.6,24.28,,,
34,05/25/23 12:02:45 PM,2.7,2.9,24.28,,,
35,05/25/23 12:02:50 PM,2.8,6.6,24.28,,,
36,05/25/23 12:02:55 PM,2.7,6.6,24.26,,,
37,05/25/23 12:03:00 PM,2.7,6.6,24.26,,,
38,05/25/23 12:03:05 PM,2.7,6.6,24.26,,,
39,05/25/23 12:03:10 PM,4.1,6.6,24.25,,,
40,05/25/23 12:03:15 PM,4.3,6.6,24.25,,,
41,05/25/23 12:03:20 PM,2.7,6.6,24.25,,,
42,05/25/23 12:03:25 PM,2.8,6.6,24.25,,,
43,05/25/23 12:03:30 PM,2.7,6.6,24.24,,,
44,05/25/23 12:03:35 PM,2.7,6.6,24.24,,,
45,05/25/23 12:03:40 PM,4.3,6.6,24.24,,,
46,05/25/23 12:03:45 PM,2.7,6.6,24.24,,,
47,05/25/23 12:03:50 PM,2.7,2.9,24.88,,,
48,05/25/23 12:03:55 PM,2.7,6.6,24.68,,,
49,05/25/23 12:04:00 PM,4.3,6.6,24.54,,,
50,05/25/23 12:04:05 PM,2.7,6.6,24.57,,,
51,05/25/23 12:04:10 PM,4.3,6.6,24.55,,,
52,05/25/23 12:04:15 PM,2.8,6.6,24.54,,,
53,05/25/23 12:04:20 PM,4.3,27.5,24.55,,,
54,05/25/23 12:04:25 PM,4.3,6.6,24.59,,,
55,05/25/23 12:04:30 PM,2.7,6.6,24.57,,,
56,05/25/23 12:04:35 PM,2.8,6.6,24.58,,,
57,05/25/23 12:04:40 PM,2.7,6.6,24.60,,,
58,05/25/23 12:04:45 PM,2.7,2.9,24.64,,,
59,05/25/23 12:04:50 PM,2.7,6.6,24.66,,,
60,05/25/23 12:04:55 PM,2.7,6.6,24.67,,,
61,05/25/23 12:05:00 PM,4.3,6.6,24.70,,,
62,05/25/23 12:05:05 PM,2.7,6.6,24.70,,,
63,05/25/23 12:05:10 PM,4.3,6.6,24.71,,,
64,05/25/23 12:05:15 PM,2.7,6.6,24.71,,,
65,05/25/23 12:05:20 PM,2.8,6.6,24.72,,,
66,05/25/23 12:05:25 PM,2.3,6.6,24.73,,,
67,05/25/23 12:05:30 PM,2.7,6.6,24.75,,,
68,05/25/23 12:05:35 PM,4.3,6.6,24.77,,,
69,05/25/23 12:05:40 PM,2.7,6.6,24.77,,,
70,05/25/23 12:05:45 PM,4.3,6.6,24.79,,,
71,05/25/23 12:05:50 PM,2.7,6.6,24.77,,,
72,05/25/23 12:05:55 PM,4.1,6.6,24.79,,,
73,05/25/23 12:06:00 PM,4.3,6.6,24.81,,,
74,05/25/23 12:06:05 PM,2.7,6.6,24.84,,,
75,05/25/23 12:06:10 PM,2.7,2.9,24.85,,,
76,05/25/23 12:06:15 PM,2.7,6.6,24.85,,,
77,05/25/23 12:06:20 PM,4.3,6.6,24.88,,,
78,05/25/23 12:06:25 PM,2.6,6.6,24.88,,,
79,05/25/23 12:06:30 PM,4.3,4.4,24.88,,,
80,05/25/23 12:06:35 PM,4.3,6.6,24.89,,,
81,05/25/23 12:06:40 PM,4.1,6.6,24.89,,,
82,05/25/23 12:06:45 PM,2.7,6.6,24.90,,,
83,05/25/23 12:06:50 PM,2.8,6.6,24.92,,,
84,05/25/23 12:06:55 PM,4.3,2.9,24.94,,,
85,05/25/23 12:07:00 PM,2.8,6.6,24.97,,,
86,05/25/23 12:07:05 PM,2.7,2.9,25.00,,,
87,05/25/23 12:07:10 PM,2.7,2.9,25.04,,,
88,05/25/23 12:07:15 PM,2.8,2.9,25.06,,,
89,05/25/23 12:07:20 PM,2.8,6.6,25.07,,,
90,05/25/23 12:07:25 PM,4.3,6.6,25.10,,,
91,05/25/23 12:07:30 PM,2.7,2.9,25.11,,,
92,05/25/23 12:07:35 PM,4.1,6.6,25.14,,,
93,05/25/23 12:07:40 PM,2.8,6.6,25.17,,,
94,05/25/23 12:07:45 PM,2.7,6.6,25.19,,,
95,05/25/23 12:07:50 PM,2.7,6.6,25.22,,,
96,05/25/23 12:07:55 PM,2.7,27.5,25.24,,,
97,05/25/23 12:08:00 PM,4.3,6.6,25.28,,,
98,05/25/23 12:08:05 PM,2.7,6.6,25.27,,,
99,05/25/23 12:08:10 PM,2.7,6.6,25.27,,,
100,05/25/23 12:08:15 PM,2.8,6.6,25.30,,,
101,05/25/23 12:08:20 PM,2.8,6.6,25.31,,,
102,05/25/23 12:08:25 PM,2.7,2.9,25.34,,,
103,05/25/23 12:08:30 PM,2.7,6.6,25.35,,,
104,05/25/23 12:08:35 PM,2.7,6.6,25.36,,,
105,05/25/23 12:08:40 PM,2.8,6.6,25.39,,,
106,05/25/23 12:08:45 PM,2.7,6.6,25.41,,,
107,05/25/23 12:08:50 PM,4.3,6.6,25.44,,,
108,05/25/23 12:08:55 PM,4.3,6.6,25.47,,,
109,05/25/23 12:09:00 PM,2.8,27.5,25.47,,,
110,05/25/23 12:09:05 PM,4.3,6.6,25.48,,,
111,05/25/23 12:09:10 PM,2.8,6.6,25.49,,,
112,05/25/23 12:09:15 PM,2.7,2.9,25.52,,,
113,05/25/23 12:09:20 PM,2.7,6.6,25.52,,,
114,05/25/23 12:09:25 PM,4.1,6.6,25.53,,,
115,05/25/23 12:09:30 PM,2.7,6.6,25.54,,,
116,05/25/23 12:09:35 PM,2.7,6.6,25.54,,,
117,05/25/23 12:09:40 PM,2.7,6.6,25.56,,,
118,05/25/23 12:09:45 PM,2.7,6.6,25.56,,,
119,05/25/23 12:09:50 PM,4.3,6.6,25.57,,,
120,05/25/23 12:09:55 PM,2.8,6.6,25.58,,,
121,05/25/23 12:10:00 PM,2.7,6.6,25.60,,,
122,05/25/23 12:10:05 PM,2.7,6.6,25.62,,,
123,05/25/23 12:10:10 PM,2.8,6.6,25.53,,,
124,05/25/23 12:10:15 PM,2.8,2.9,25.54,,,
125,05/25/23 12:10:20 PM,2.7,2.9,25.56,,,
126,05/25/23 12:10:25 PM,2.7,6.6,25.56,,,
127,05/25/23 12:10:30 PM,4.3,6.6,25.56,,,
128,05/25/23 12:10:35 PM,2.7,6.6,25.54,,,
129,05/25/23 12:10:40 PM,4.1,6.6,25.52,,,
130,05/25/23 12:10:45 PM,4.3,6.6,25.53,,,
131,05/25/23 12:10:50 PM,4.3,6.6,25.54,,,
132,05/25/23 12:10:55 PM,2.7,6.6,25.54,,,
133,05/25/23 12:11:00 PM,2.8,6.6,25.54,,,
134,05/25/23 12:11:05 PM,2.7,6.6,25.56,,,
135,05/25/23 12:11:10 PM,4.3,6.6,25.56,,,
136,05/25/23 12:11:15 PM,2.7,6.6,25.56,,,
137,05/25/23 12:11:20 PM,2.7,6.6,25.56,,,
138,05/25/23 12:11:25 PM,2.8,6.6,25.57,,,
139,05/25/23 12:11:30 PM,4.1,6.6,25.56,,,
140,05/25/23 12:11:35 PM,2.8,4.3,25.56,,,
141,05/25/23 12:11:40 PM,4.1,6.6,25.54,,,
142,05/25/23 12:11:45 PM,2.8,6.6,25.49,,,
143,05/25/23 12:11:50 PM,4.3,6.6,25.44,,,
144,05/25/23 12:11:55 PM,2.8,6.6,25.43,,,
145,05/25/23 12:12:00 PM,2.8,6.6,25.41,,,
146,05/25/23 12:12:05 PM,4.3,6.6,25.45,,,
147,05/25/23 12:12:10 PM,2.8,6.6,25.48,,,
148,05/25/23 12:12:15 PM,2.7,6.6,25.49,,,
149,05/25/23 12:12:20 PM,2.8,6.6,25.51,,,
150,05/25/23 12:12:25 PM,2.7,6.6,25.52,,,
151,05/25/23 12:12:30 PM,2.8,4.3,25.52,,,
152,05/25/23 12:12:35 PM,4.3,6.6,25.53,,,
153,05/25/23 12:12:40 PM,2.7,6.6,25.54,,,
154,05/25/23 12:12:45 PM,4.3,6.6,25.56,,,
155,05/25/23 12:12:50 PM,2.7,6.6,25.57,,,
156,05/25/23 12:12:55 PM,2.8,6.6,25.57,,,
157,05/25/23 12:13:00 PM,2.8,6.6,25.57,,,
158,05/25/23 12:13:05 PM,4.3,6.6,25.60,,,
159,05/25/23 12:13:10 PM,2.8,6.6,25.60,,,
160,05/25/23 12:13:15 PM,4.3,6.6,25.60,,,
161,05/25/23 12:13:20 PM,2.8,6.6,25.60,,,
162,05/25/23 12:13:25 PM,4.3,27.5,25.61,,,
163,05/25/23 12:13:30 PM,4.3,6.6,25.61,,,
164,05/25/23 12:13:35 PM,2.8,6.6,25.62,,,
165,05/25/23 12:13:40 PM,2.7,6.6,25.60,,,
166,05/25/23 12:13:45 PM,2.7,6.6,25.57,,,
167,05/25/23 12:13:50 PM,2.7,6.6,25.58,,,
168,05/25/23 12:13:55 PM,2.7,6.6,25.56,,,
169,05/25/23 12:14:00 PM,4.3,6.6,25.57,,,
170,05/25/23 12:14:05 PM,2.8,6.6,25.56,,,
171,05/25/23 12:14:10 PM,4.3,6.6,25.56,,,
172,05/25/23 12:14:15 PM,4.3,6.6,25.56,,,
173,05/25/23 12:14:20 PM,2.7,2.9,25.53,,,
174,05/25/23 12:14:25 PM,2.7,6.6,25.52,,,
175,05/25/23 12:14:30 PM,2.8,27.5,25.52,,,
176,05/25/23 12:14:35 PM,2.7,6.6,25.52,,,
177,05/25/23 12:14:40 PM,2.8,6.6,25.48,,,
178,05/25/23 12:14:45 PM,2.7,6.6,25.48,,,
179,05/25/23 12:14:50 PM,2.7,6.6,25.47,,,
180,05/25/23 12:14:55 PM,4.1,6.6,25.48,,,
181,05/25/23 12:15:00 PM,4.3,2.9,25.48,,,
182,05/25/23 12:15:05 PM,2.7,2.9,25.49,,,
183,05/25/23 12:15:10 PM,4.3,2.9,25.51,,,
184,05/25/23 12:15:15 PM,2.7,6.6,25.51,,,
185,05/25/23 12:15:20 PM,2.7,6.6,25.51,,,
186,05/25/23 12:15:25 PM,2.8,2.9,25.51,,,
187,05/25/23 12:15:30 PM,4.3,6.6,25.52,,,
188,05/25/23 12:15:35 PM,2.7,27.5,25.49,,,
189,05/25/23 12:15:40 PM,2.7,6.6,25.49,,,
190,05/25/23 12:15:45 PM,2.7,6.6,25.51,,,
191,05/25/23 12:15:50 PM,4.3,6.6,25.49,,,
192,05/25/23 12:15:55 PM,4.3,6.6,25.49,,,
193,05/25/23 12:16:00 PM,2.7,6.6,25.49,,,
194,05/25/23 12:16:05 PM,2.7,6.6,25.49,,,
195,05/25/23 12:16:10 PM,2.7,6.6,25.49,,,
196,05/25/23 12:16:15 PM,2.8,2.9,25.49,,,
197,05/25/23 12:16:20 PM,2.7,6.6,25.49,,,
198,05/25/23 12:16:25 PM,2.7,6.6,25.49,,,
199,05/25/23 12:16:30 PM,5.1,6.6,25.49,,,
200,05/25/23 12:16:35 PM,2.7,6.6,25.49,,,
201,05/25/23 12:16:40 PM,4.3,6.6,25.51,,,
202,05/25/23 12:16:45 PM,2.7,6.6,25.49,,,
203,05/25/23 12:16:50 PM,2.7,6.6,25.49,,,
204,05/25/23 12:16:55 PM,2.7,6.6,25.51,,,
205,05/25/23 12:17:00 PM,2.7,6.6,25.52,,,
206,05/25/23 12:17:05 PM,2.7,27.5,25.52,,,
207,05/25/23 12:17:10 PM,2.8,6.6,25.52,,,
208,05/25/23 12:17:15 PM,2.7,6.6,25.53,,,
209,05/25/23 12:17:20 PM,2.8,6.6,25.52,,,
210,05/25/23 12:17:25 PM,2.7,6.6,25.49,,,
211,05/25/23 12:17:30 PM,4.1,6.6,25.47,,,
212,05/25/23 12:17:35 PM,2.7,6.6,25.47,,,
213,05/25/23 12:17:40 PM,2.8,6.6,25.48,,,
214,05/25/23 12:17:45 PM,2.7,6.6,25.48,,,
215,05/25/23 12:17:50 PM,2.7,6.6,25.49,,,
216,05/25/23 12:17:55 PM,2.7,6.6,25.51,,,
217,05/25/23 12:18:00 PM,2.7,6.6,25.54,,,
218,05/25/23 12:18:05 PM,2.7,6.6,25.57,,,
219,05/25/23 12:18:10 PM,2.7,6.6,25.56,,,
220,05/25/23 12:18:15 PM,2.7,6.6,25.57,,,
221,05/25/23 12:18:20 PM,4.3,6.6,25.58,,,
222,05/25/23 12:18:25 PM,4.3,6.6,25.57,,,
223,05/25/23 12:18:30 PM,4.1,6.6,25.57,,,
224,05/25/23 12:18:35 PM,2.7,6.6,25.58,,,
225,05/25/23 12:18:40 PM,4.3,6.6,25.57,,,
226,05/25/23 12:18:45 PM,2.7,6.6,25.60,,,
227,05/25/23 12:18:50 PM,2.7,6.6,25.60,,,
228,05/25/23 12:18:55 PM,2.7,6.6,25.60,,,
229,05/25/23 12:19:00 PM,4.3,6.6,25.64,,,
230,05/25/23 12:19:05 PM,4.3,6.6,25.64,,,
231,05/25/23 12:19:10 PM,2.7,6.6,25.65,,,
232,05/25/23 12:19:15 PM,4.3,2.9,25.64,,,
233,05/25/23 12:19:20 PM,2.7,6.6,25.62,,,
234,05/25/23 12:19:25 PM,2.7,6.6,25.62,,,
235,05/25/23 12:19:30 PM,4.3,6.6,25.66,,,
236,05/25/23 12:19:35 PM,2.8,6.6,25.61,,,
237,05/25/23 12:19:40 PM,4.1,6.6,25.62,,,
238,05/25/23 12:19:45 PM,4.3,6.6,25.61,,,
239,05/25/23 12:19:50 PM,2.7,6.6,25.61,,,
240,05/25/23 12:19:55 PM,4.3,6.6,25.62,,,
241,05/25/23 12:20:00 PM,4.3,6.6,25.64,,,
242,05/25/23 12:20:05 PM,2.8,6.6,25.65,,,
243,05/25/23 12:20:10 PM,2.8,6.6,25.65,,,
244,05/25/23 12:20:15 PM,4.1,6.6,25.65,,,
245,05/25/23 12:20:20 PM,2.7,17.2,25.65,,,
246,05/25/23 12:20:25 PM,2.8,6.6,25.65,,,
247,05/25/23 12:20:30 PM,4.3,6.6,25.67,,,
248,05/25/23 12:20:35 PM,2.7,6.6,25.78,,,
249,05/25/23 12:20:40 PM,51.7,5.8,26.64,,,
250,05/25/23 12:20:45 PM,92.8,101.2,23.73,,,
251,05/25/23 12:20:50 PM,105.5,116.4,23.95,,,
252,05/25/23 12:20:55 PM,112.8,122.8,23.98,,,
253,05/25/23 12:21:00 PM,111.9,115.4,20.52,,,
254,05/25/23 12:21:05 PM,104.3,106.9,19.33,,,
255,05/25/23 12:21:10 PM,104.3,107.0,18.90,,,
256,05/25/23 12:21:15 PM,99.8,102.1,18.60,,,
257,05/25/23 12:21:20 PM,99.3,101.8,18.49,,,
258,05/25/23 12:21:25 PM,99.1,100.7,18.49,,,
259,05/25/23 12:21:30 PM,99.2,101.0,18.48,,,
260,05/25/23 12:21:35 PM,98.8,100.7,18.43,,,
261,05/25/23 12:21:40 PM,98.1,100.3,18.40,,,
262,05/25/23 12:21:45 PM,98.0,99.9,18.38,,,
263,05/25/23 12:21:50 PM,98.4,100.3,18.35,,,
264,05/25/23 12:21:55 PM,97.8,99.6,18.32,,,
265,05/25/23 12:22:00 PM,98.4,100.3,18.32,,,
266,05/25/23 12:22:05 PM,98.1,99.9,18.34,,,
267,05/25/23 12:22:10 PM,97.9,99.9,18.31,,,
268,05/25/23 12:22:15 PM,98.0,99.9,18.30,,,
269,05/25/23 12:22:20 PM,98.2,99.9,18.29,,,
270,05/25/23 12:22:25 PM,98.1,99.9,18.30,,,
271,05/25/23 12:22:30 PM,98.0,99.9,18.27,,,
272,05/25/23 12:22:35 PM,97.6,99.6,18.23,,,
273,05/25/23 12:22:40 PM,97.4,98.8,18.23,,,
274,05/25/23 12:22:45 PM,97.3,98.8,18.22,,,
275,05/25/23 12:22:50 PM,97.5,99.2,18.19,,,
276,05/25/23 12:22:55 PM,97.6,99.6,18.21,,,
277,05/25/23 12:23:00 PM,97.3,98.8,18.21,,,
278,05/25/23 12:23:05 PM,97.3,98.8,18.19,,,
279,05/25/23 12:23:10 PM,97.1,98.8,18.19,,,
280,05/25/23 12:23:15 PM,97.3,98.8,18.18,,,
281,05/25/23 12:23:20 PM,97.1,98.8,18.18,,,
282,05/25/23 12:23:25 PM,97.1,98.8,18.18,,,
283,05/25/23 12:23:30 PM,97.2,98.8,18.17,,,
284,05/25/23 12:23:35 PM,97.1,98.8,18.17,,,
285,05/25/23 12:23:40 PM,97.1,98.8,18.17,,,
286,05/25/23 12:23:45 PM,97.1,98.8,18.17,,,
287,05/25/23 12:23:50 PM,97.2,98.8,18.17,,,
288,05/25/23 12:23:55 PM,97.1,98.8,18.14,,,
289,05/25/23 12:24:00 PM,97.1,98.8,18.15,,,
290,05/25/23 12:24:05 PM,97.0,98.8,18.15,,,
291,05/25/23 12:24:10 PM,97.1,98.5,18.14,,,
292,05/25/23 12:24:15 PM,96.9,98.1,18.14,,,
293,05/25/23 12:24:20 PM,96.9,98.5,18.14,,,
294,05/25/23 12:24:25 PM,97.0,98.5,18.14,,,
295,05/25/23 12:24:30 PM,96.8,98.5,18.13,,,
296,05/25/23 12:24:35 PM,96.8,98.1,18.13,,,
297,05/25/23 12:24:40 PM,97.1,98.5,18.14,,,
298,05/25/23 12:24:45 PM,96.8,98.5,18.13,,,
299,05/25/23 12:24:50 PM,96.9,98.1,18.13,,,
300,05/25/23 12:24:55 PM,96.7,98.1,18.13,,,
301,05/25/23 12:25:00 PM,96.8,98.1,18.13,,,
302,05/25/23 12:25:05 PM,96.8,98.1,18.13,,,
303,05/25/23 12:25:10 PM,96.6,97.7,18.12,,,
304,05/25/23 12:25:15 PM,96.7,98.1,18.13,,,
305,05/25/23 12:25:20 PM,96.8,98.1,18.12,,,
306,05/25/23 12:25:25 PM,96.7,98.1,18.13,,,
307,05/25/23 12:25:30 PM,96.8,98.1,18.13,,,
308,05/25/23 12:25:35 PM,96.7,98.1,18.13,,,
309,05/25/23 12:25:40 PM,96.7,97.7,18.12,,,
310,05/25/23 12:25:45 PM,96.6,98.1,18.12,,,
311,05/25/23 12:25:50 PM,96.8,98.1,18.12,,,
312,05/25/23 12:25:55 PM,96.6,98.1,18.12,,,
313,05/25/23 12:26:00 PM,96.7,98.1,18.13,,,
314,05/25/23 12:26:05 PM,96.6,97.7,18.12,,,
315,05/25/23 12:26:10 PM,96.8,98.1,18.13,,,
316,05/25/23 12:26:15 PM,96.6,97.7,18.12,,,
317,05/25/23 12:26:20 PM,96.6,97.7,18.12,,,
318,05/25/23 12:26:25 PM,96.5,97.7,18.12,,,
319,05/25/23 12:26:30 PM,96.6,97.7,18.12,,,
320,05/25/23 12:26:35 PM,96.6,97.7,18.13,,,
321,05/25/23 12:26:40 PM,96.6,97.7,18.13,,,
322,05/25/23 12:26:45 PM,96.6,98.1,18.13,,,
323,05/25/23 12:26:50 PM,96.6,98.1,18.13,,,
324,05/25/23 12:26:55 PM,96.5,98.1,18.13,,,
325,05/25/23 12:27:00 PM,96.5,97.7,18.13,,,
326,05/25/23 12:27:05 PM,96.5,97.7,18.13,,,
327,05/25/23 12:27:10 PM,96.5,97.7,18.13,,,
328,05/25/23 12:27:15 PM,96.5,97.7,18.13,,,
329,05/25/23 12:27:20 PM,96.5,97.7,18.13,,,
330,05/25/23 12:27:25 PM,96.5,97.7,18.13,,,
331,05/25/23 12:27:30 PM,96.5,97.7,18.13,,,
332,05/25/23 12:27:35 PM,96.6,97.7,18.14,,,
333,05/25/23 12:27:40 PM,96.5,98.1,18.13,,,
334,05/25/23 12:27:45 PM,96.5,97.7,18.14,,,
335,05/25/23 12:27:50 PM,96.5,97.7,18.14,,,
336,05/25/23 12:27:55 PM,96.5,97.7,18.14,,,
337,05/25/23 12:28:00 PM,96.5,97.7,18.14,,,
338,05/25/23 12:28:05 PM,96.5,97.7,18.14,,,
339,05/25/23 12:28:10 PM,96.5,97.7,18.14,,,
340,05/25/23 12:28:15 PM,96.6,97.7,18.14,,,
341,05/25/23 12:28:20 PM,96.5,97.7,18.14,,,
342,05/25/23 12:28:25 PM,96.5,97.7,18.15,,,
343,05/25/23 12:28:30 PM,96.5,97.7,18.15,,,
344,05/25/23 12:28:35 PM,96.5,97.7,18.14,,,
345,05/25/23 12:28:40 PM,96.5,97.7,18.14,,,
346,05/25/23 12:28:45 PM,96.5,97.7,18.15,,,
347,05/25/23 12:28:50 PM,96.5,98.1,18.15,,,
348,05/25/23 12:28:55 PM,96.4,97.7,18.15,,,
349,05/25/23 12:29:00 PM,96.5,97.7,18.17,,,
350,05/25/23 12:29:05 PM,96.5,97.7,18.15,,,
351,05/25/23 12:29:10 PM,96.5,97.7,18.15,,,
352,05/25/23 12:29:15 PM,96.5,97.7,18.15,,,
353,05/25/23 12:29:20 PM,96.5,97.7,18.15,,,
354,05/25/23 12:29:25 PM,96.5,97.7,18.17,,,
355,05/25/23 12:29:30 PM,96.4,97.7,18.15,,,
356,05/25/23 12:29:35 PM,96.6,97.7,18.17,,,
357,05/25/23 12:29:40 PM,96.5,97.7,18.17,,,
358,05/25/23 12:29:45 PM,96.5,97.7,18.17,,,
359,05/25/23 12:29:50 PM,96.5,97.7,18.17,,,
360,05/25/23 12:29:55 PM,96.5,97.7,18.17,,,
361,05/25/23 12:30:00 PM,96.6,97.7,18.15,,,
362,05/25/23 12:30:05 PM,96.5,97.7,18.17,,,
363,05/25/23 12:30:10 PM,96.5,97.7,18.17,,,
364,05/25/23 12:30:15 PM,96.4,97.7,18.17,,,
365,05/25/23 12:30:20 PM,96.5,97.7,18.17,,,
366,05/25/23 12:30:25 PM,96.5,97.7,18.17,,,
367,05/25/23 12:30:30 PM,96.4,97.7,18.15,,,
368,05/25/23 12:30:35 PM,96.5,97.7,18.17,,,
369,05/25/23 12:30:40 PM,96.5,97.7,18.18,,,
370,05/25/23 12:30:45 PM,96.5,97.7,18.17,,,
371,05/25/23 12:30:50 PM,96.6,98.1,18.17,,,
372,05/25/23 12:30:55 PM,96.4,97.7,18.17,,,
373,05/25/23 12:31:00 PM,96.5,97.7,18.17,,,
374,05/25/23 12:31:05 PM,96.4,97.7,18.15,,,
375,05/25/23 12:31:10 PM,96.5,97.7,18.17,,,
376,05/25/23 12:31:15 PM,96.5,97.7,18.17,,,
377,05/25/23 12:31:20 PM,96.4,98.1,18.17,,,
378,05/25/23 12:31:25 PM,96.5,97.7,18.17,,,
379,05/25/23 12:31:30 PM,96.5,97.7,18.17,,,
380,05/25/23 12:31:35 PM,96.4,97.7,18.17,,,
381,05/25/23 12:31:40 PM,96.5,97.7,18.17,,,
382,05/25/23 12:31:45 PM,96.4,97.7,18.17,,,
383,05/25/23 12:31:50 PM,96.5,97.7,18.17,,,
384,05/25/23 12:31:55 PM,96.4,97.7,18.17,,,
385,05/25/23 12:32:00 PM,96.4,98.1,18.17,,,
386,05/25/23 12:32:05 PM,96.5,97.7,18.18,,,
387,05/25/23 12:32:10 PM,96.5,97.7,18.18,,,
388,05/25/23 12:32:15 PM,96.5,97.7,18.18,,,
389,05/25/23 12:32:20 PM,96.4,97.7,18.18,,,
390,05/25/23 12:32:25 PM,96.4,97.7,18.18,,,
391,05/25/23 12:32:30 PM,96.4,97.7,18.18,,,
392,05/25/23 12:32:35 PM,96.4,97.7,18.18,,,
393,05/25/23 12:32:40 PM,96.5,97.7,18.18,,,
394,05/25/23 12:32:45 PM,96.5,97.7,18.18,,,
395,05/25/23 12:32:50 PM,96.4,97.7,18.18,,,
396,05/25/23 12:32:55 PM,96.4,97.7,18.18,,,
397,05/25/23 12:33:00 PM,96.4,97.7,18.18,,,
398,05/25/23 12:33:05 PM,96.4,97.7,18.18,,,
399,05/25/23 12:33:10 PM,96.4,97.7,18.18,,,
400,05/25/23 12:33:15 PM,96.3,97.7,18.18,,,
401,05/25/23 12:33:20 PM,96.4,97.7,18.18,,,
402,05/25/23 12:33:25 PM,96.4,97.7,18.18,,,
403,05/25/23 12:33:30 PM,96.5,97.7,18.18,,,
404,05/25/23 12:33:35 PM,96.5,97.7,18.19,,,
405,05/25/23 12:33:40 PM,96.4,97.7,18.18,,,
406,05/25/23 12:33:45 PM,96.4,97.7,18.19,,,
407,05/25/23 12:33:50 PM,96.5,97.7,18.18,,,
408,05/25/23 12:33:55 PM,96.5,97.7,18.18,,,
409,05/25/23 12:34:00 PM,96.4,97.7,18.18,,,
410,05/25/23 12:34:05 PM,96.4,98.1,18.19,,,
411,05/25/23 12:34:10 PM,96.3,97.7,18.19,,,
412,05/25/23 12:34:15 PM,96.4,97.7,18.18,,,
413,05/25/23 12:34:20 PM,96.5,97.7,18.19,,,
414,05/25/23 12:34:25 PM,96.5,98.1,18.18,,,
415,05/25/23 12:34:30 PM,96.4,97.7,18.19,,,
416,05/25/23 12:34:35 PM,96.5,97.7,18.19,,,
417,05/25/23 12:34:40 PM,96.5,97.7,18.19,,,
418,05/25/23 12:34:45 PM,96.4,98.1,18.19,,,
419,05/25/23 12:34:50 PM,96.4,97.7,18.19,,,
420,05/25/23 12:34:55 PM,96.4,98.1,18.19,,,
421,05/25/23 12:35:00 PM,96.4,97.7,18.19,,,
422,05/25/23 12:35:05 PM,96.5,98.1,18.19,,,
423,05/25/23 12:35:10 PM,96.4,98.1,18.19,,,
424,05/25/23 12:35:15 PM,96.5,98.1,18.19,,,
