"Plot Title: mgas_station_1"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Full Range, μS/cm (LGR S/N: 10395024, SEN S/N: 10395024)","Temp, °C (LGR S/N: 10395024, SEN S/N: 10395024)","Coupler Detached (LGR S/N: 10395024)","End Of File (LGR S/N: 10395024)"
86,05/25/23 12:07:05 PM,8.3,6.1,23.81,,
87,05/25/23 12:07:10 PM,8.3,6.1,23.83,,
88,05/25/23 12:07:15 PM,8.3,6.1,23.83,,
89,05/25/23 12:07:20 PM,24.8,6.1,23.84,,
90,05/25/23 12:07:25 PM,8.3,6.1,23.84,,
91,05/25/23 12:07:30 PM,8.3,26.3,23.84,,
92,05/25/23 12:07:35 PM,3.7,17.5,23.84,,
93,05/25/23 12:07:40 PM,24.8,6.1,23.84,,
94,05/25/23 12:07:45 PM,8.3,6.1,23.85,,
95,05/25/23 12:07:50 PM,8.3,6.1,23.84,,
96,05/25/23 12:07:55 PM,8.3,6.1,23.84,,
97,05/25/23 12:08:00 PM,8.3,6.1,23.84,,
98,05/25/23 12:08:05 PM,6.4,6.1,23.83,,
99,05/25/23 12:08:10 PM,8.3,6.1,23.83,,
100,05/25/23 12:08:15 PM,3.7,6.1,23.81,,
101,05/25/23 12:08:20 PM,8.3,17.5,23.81,,
102,05/25/23 12:08:25 PM,8.3,6.1,23.80,,
103,05/25/23 12:08:30 PM,2.5,6.1,23.80,,
104,05/25/23 12:08:35 PM,8.3,17.5,23.80,,
105,05/25/23 12:08:40 PM,8.3,6.1,23.80,,
106,05/25/23 12:08:45 PM,6.4,6.1,23.80,,
107,05/25/23 12:08:50 PM,8.3,6.1,23.80,,
108,05/25/23 12:08:55 PM,3.7,6.1,23.80,,
109,05/25/23 12:09:00 PM,8.3,6.1,23.79,,
110,05/25/23 12:09:05 PM,8.3,6.1,23.80,,
111,05/25/23 12:09:10 PM,8.3,6.1,23.80,,
112,05/25/23 12:09:15 PM,3.7,6.1,23.80,,
113,05/25/23 12:09:20 PM,8.3,6.1,23.81,,
114,05/25/23 12:09:25 PM,3.7,17.5,23.81,,
115,05/25/23 12:09:30 PM,8.3,6.1,23.81,,
116,05/25/23 12:09:35 PM,6.4,6.1,23.81,,
117,05/25/23 12:09:40 PM,8.3,17.5,23.81,,
118,05/25/23 12:09:45 PM,3.7,6.1,23.83,,
119,05/25/23 12:09:50 PM,8.3,6.1,23.83,,
120,05/25/23 12:09:55 PM,8.3,6.1,23.84,,
121,05/25/23 12:10:00 PM,6.4,6.1,23.84,,
122,05/25/23 12:10:05 PM,3.7,6.1,23.84,,
123,05/25/23 12:10:10 PM,6.4,6.1,23.83,,
124,05/25/23 12:10:15 PM,3.7,6.1,23.76,,
125,05/25/23 12:10:20 PM,8.3,6.1,23.73,,
126,05/25/23 12:10:25 PM,3.7,6.1,23.76,,
127,05/25/23 12:10:30 PM,3.6,6.1,23.69,,
128,05/25/23 12:10:35 PM,3.7,6.1,23.72,,
129,05/25/23 12:10:40 PM,168.7,193.0,21.02,,
130,05/25/23 12:10:45 PM,190.0,216.5,21.69,,
131,05/25/23 12:10:50 PM,199.1,227.4,21.87,,
132,05/25/23 12:10:55 PM,224.7,258.8,22.09,,
133,05/25/23 12:11:00 PM,132.0,136.5,18.87,,
134,05/25/23 12:11:05 PM,131.7,136.5,18.51,,
135,05/25/23 12:11:10 PM,129.9,134.6,18.41,,
136,05/25/23 12:11:15 PM,127.6,131.9,18.25,,
137,05/25/23 12:11:20 PM,127.4,131.5,18.29,,
138,05/25/23 12:11:25 PM,126.7,131.1,18.15,,
139,05/25/23 12:11:30 PM,127.3,131.9,18.15,,
140,05/25/23 12:11:35 PM,126.4,130.8,18.07,,
141,05/25/23 12:11:40 PM,125.8,130.0,18.07,,
142,05/25/23 12:11:45 PM,126.1,130.4,18.06,,
143,05/25/23 12:11:50 PM,125.4,129.6,18.02,,
144,05/25/23 12:11:55 PM,125.3,129.6,18.03,,
145,05/25/23 12:12:00 PM,125.6,129.6,17.99,,
146,05/25/23 12:12:05 PM,124.6,128.8,17.93,,
147,05/25/23 12:12:10 PM,124.1,128.1,17.93,,
148,05/25/23 12:12:15 PM,125.1,129.2,17.95,,
149,05/25/23 12:12:20 PM,125.4,129.2,17.97,,
150,05/25/23 12:12:25 PM,124.8,128.8,17.93,,
151,05/25/23 12:12:30 PM,125.5,129.6,17.93,,
152,05/25/23 12:12:35 PM,124.9,129.2,17.93,,
153,05/25/23 12:12:40 PM,124.3,128.5,17.89,,
154,05/25/23 12:12:45 PM,124.7,128.8,17.91,,
155,05/25/23 12:12:50 PM,124.8,128.9,17.89,,
156,05/25/23 12:12:55 PM,124.3,128.5,17.87,,
157,05/25/23 12:13:00 PM,124.0,127.7,17.86,,
158,05/25/23 12:13:05 PM,124.2,128.5,17.86,,
159,05/25/23 12:13:10 PM,124.3,128.5,17.85,,
160,05/25/23 12:13:15 PM,124.3,128.5,17.85,,
161,05/25/23 12:13:20 PM,123.9,127.7,17.84,,
162,05/25/23 12:13:25 PM,123.9,127.7,17.82,,
163,05/25/23 12:13:30 PM,124.2,128.1,17.84,,
164,05/25/23 12:13:35 PM,124.4,128.1,17.84,,
165,05/25/23 12:13:40 PM,124.0,128.1,17.82,,
166,05/25/23 12:13:45 PM,123.5,127.3,17.78,,
167,05/25/23 12:13:50 PM,123.8,127.7,17.81,,
168,05/25/23 12:13:55 PM,123.4,126.9,17.80,,
169,05/25/23 12:14:00 PM,123.6,127.7,17.80,,
170,05/25/23 12:14:05 PM,123.8,127.7,17.80,,
171,05/25/23 12:14:10 PM,124.3,128.5,17.80,,
172,05/25/23 12:14:15 PM,124.0,127.7,17.80,,
173,05/25/23 12:14:20 PM,123.9,128.1,17.80,,
174,05/25/23 12:14:25 PM,123.6,127.7,17.78,,
175,05/25/23 12:14:30 PM,123.3,127.3,17.77,,
176,05/25/23 12:14:35 PM,123.8,127.7,17.77,,
177,05/25/23 12:14:40 PM,123.8,127.7,17.78,,
178,05/25/23 12:14:45 PM,123.7,127.7,17.78,,
179,05/25/23 12:14:50 PM,123.4,127.3,17.76,,
180,05/25/23 12:14:55 PM,123.5,127.7,17.77,,
181,05/25/23 12:15:00 PM,123.3,127.3,17.77,,
182,05/25/23 12:15:05 PM,123.6,127.7,17.78,,
183,05/25/23 12:15:10 PM,123.5,127.3,17.77,,
184,05/25/23 12:15:15 PM,123.7,127.7,17.77,,
185,05/25/23 12:15:20 PM,123.4,127.3,17.78,,
186,05/25/23 12:15:25 PM,123.5,127.3,17.77,,
187,05/25/23 12:15:30 PM,123.5,127.3,17.77,,
188,05/25/23 12:15:35 PM,123.5,126.9,17.77,,
189,05/25/23 12:15:40 PM,123.5,127.3,17.77,,
190,05/25/23 12:15:45 PM,123.5,127.3,17.77,,
191,05/25/23 12:15:50 PM,123.5,127.3,17.77,,
192,05/25/23 12:15:55 PM,123.4,126.9,17.77,,
193,05/25/23 12:16:00 PM,123.3,126.9,17.76,,
194,05/25/23 12:16:05 PM,123.2,126.5,17.76,,
195,05/25/23 12:16:10 PM,123.4,126.9,17.77,,
196,05/25/23 12:16:15 PM,123.5,127.3,17.77,,
197,05/25/23 12:16:20 PM,123.3,126.9,17.77,,
198,05/25/23 12:16:25 PM,123.2,126.5,17.77,,
199,05/25/23 12:16:30 PM,123.4,127.3,17.77,,
200,05/25/23 12:16:35 PM,123.3,127.3,17.77,,
201,05/25/23 12:16:40 PM,123.4,127.3,17.77,,
202,05/25/23 12:16:45 PM,123.5,127.3,17.77,,
203,05/25/23 12:16:50 PM,123.5,127.3,17.77,,
204,05/25/23 12:16:55 PM,123.5,126.9,17.77,,
205,05/25/23 12:17:00 PM,123.4,127.3,17.77,,
206,05/25/23 12:17:05 PM,123.6,127.3,17.77,,
207,05/25/23 12:17:10 PM,123.3,126.5,17.77,,
208,05/25/23 12:17:15 PM,123.3,126.9,17.77,,
209,05/25/23 12:17:20 PM,123.5,127.3,17.77,,
210,05/25/23 12:17:25 PM,123.4,127.3,17.77,,
211,05/25/23 12:17:30 PM,123.2,126.9,17.77,,
212,05/25/23 12:17:35 PM,123.3,127.3,17.77,,
213,05/25/23 12:17:40 PM,123.2,126.5,17.77,,
214,05/25/23 12:17:45 PM,123.3,126.5,17.78,,
215,05/25/23 12:17:50 PM,123.3,126.9,17.77,,
216,05/25/23 12:17:55 PM,123.3,126.9,17.77,,
217,05/25/23 12:18:00 PM,123.2,126.9,17.78,,
218,05/25/23 12:18:05 PM,123.4,126.9,17.77,,
219,05/25/23 12:18:10 PM,123.3,126.5,17.77,,
220,05/25/23 12:18:15 PM,123.2,126.5,17.78,,
221,05/25/23 12:18:20 PM,123.4,126.9,17.78,,
222,05/25/23 12:18:25 PM,123.4,126.9,17.78,,
223,05/25/23 12:18:30 PM,123.3,126.9,17.78,,
224,05/25/23 12:18:35 PM,123.2,126.5,17.78,,
225,05/25/23 12:18:40 PM,123.2,126.9,17.78,,
226,05/25/23 12:18:45 PM,123.2,126.9,17.78,,
227,05/25/23 12:18:50 PM,123.2,126.9,17.78,,
228,05/25/23 12:18:55 PM,123.2,126.5,17.78,,
229,05/25/23 12:19:00 PM,123.2,126.5,17.80,,
230,05/25/23 12:19:05 PM,123.2,126.5,17.78,,
231,05/25/23 12:19:10 PM,123.3,126.5,17.80,,
232,05/25/23 12:19:15 PM,123.4,126.9,17.80,,
233,05/25/23 12:19:20 PM,123.5,127.3,17.80,,
234,05/25/23 12:19:25 PM,123.4,127.3,17.80,,
235,05/25/23 12:19:30 PM,123.3,126.5,17.81,,
236,05/25/23 12:19:35 PM,123.3,126.9,17.80,,
237,05/25/23 12:19:40 PM,123.4,126.9,17.80,,
238,05/25/23 12:19:45 PM,123.3,126.5,17.80,,
239,05/25/23 12:19:50 PM,123.2,126.5,17.81,,
240,05/25/23 12:19:55 PM,123.3,126.9,17.81,,
241,05/25/23 12:20:00 PM,123.3,126.5,17.81,,
242,05/25/23 12:20:05 PM,123.4,126.5,17.81,,
243,05/25/23 12:20:10 PM,123.3,126.9,17.81,,
244,05/25/23 12:20:15 PM,123.4,126.9,17.81,,
245,05/25/23 12:20:20 PM,123.3,126.9,17.81,,
246,05/25/23 12:20:25 PM,123.5,126.9,17.81,,
247,05/25/23 12:20:30 PM,123.3,126.9,17.81,,
248,05/25/23 12:20:35 PM,123.5,126.9,17.81,,
249,05/25/23 12:20:40 PM,123.5,126.9,17.82,,
250,05/25/23 12:20:45 PM,123.5,126.9,17.81,,
251,05/25/23 12:20:50 PM,123.3,126.9,17.81,,
252,05/25/23 12:20:55 PM,123.4,126.5,17.82,,
253,05/25/23 12:21:00 PM,123.3,126.9,17.81,,
254,05/25/23 12:21:05 PM,123.4,126.9,17.81,,
255,05/25/23 12:21:10 PM,123.3,126.9,17.81,,
256,05/25/23 12:21:15 PM,123.4,126.9,17.82,,
257,05/25/23 12:21:20 PM,123.4,126.9,17.82,,
258,05/25/23 12:21:25 PM,123.3,126.5,17.82,,
259,05/25/23 12:21:30 PM,123.3,127.3,17.82,,
260,05/25/23 12:21:35 PM,123.3,126.5,17.82,,
261,05/25/23 12:21:40 PM,123.4,126.9,17.82,,
262,05/25/23 12:21:45 PM,123.3,126.9,17.82,,
263,05/25/23 12:21:50 PM,123.3,126.9,17.82,,
264,05/25/23 12:21:55 PM,123.3,126.5,17.82,,
265,05/25/23 12:22:00 PM,123.4,126.9,17.82,,
266,05/25/23 12:22:05 PM,123.5,126.9,17.82,,
267,05/25/23 12:22:10 PM,123.4,126.5,17.84,,
268,05/25/23 12:22:15 PM,123.4,126.9,17.84,,
269,05/25/23 12:22:20 PM,123.5,126.9,17.84,,
270,05/25/23 12:22:25 PM,123.4,126.9,17.84,,
271,05/25/23 12:22:30 PM,123.5,126.9,17.82,,
272,05/25/23 12:22:35 PM,123.5,126.9,17.84,,
273,05/25/23 12:22:40 PM,123.4,126.5,17.84,,
274,05/25/23 12:22:45 PM,123.5,126.9,17.84,,
275,05/25/23 12:22:50 PM,123.4,126.9,17.84,,
276,05/25/23 12:22:55 PM,123.4,126.9,17.84,,
277,05/25/23 12:23:00 PM,123.5,126.9,17.84,,
278,05/25/23 12:23:05 PM,123.4,126.9,17.84,,
279,05/25/23 12:23:10 PM,123.5,126.9,17.84,,
280,05/25/23 12:23:15 PM,123.4,126.5,17.84,,
281,05/25/23 12:23:20 PM,123.5,126.9,17.84,,
282,05/25/23 12:23:25 PM,123.4,126.9,17.84,,
283,05/25/23 12:23:30 PM,123.5,126.5,17.84,,
284,05/25/23 12:23:35 PM,123.5,126.9,17.84,,
285,05/25/23 12:23:40 PM,123.5,126.9,17.85,,
286,05/25/23 12:23:45 PM,123.4,127.3,17.85,,
287,05/25/23 12:23:50 PM,123.5,126.9,17.85,,
288,05/25/23 12:23:55 PM,123.5,126.9,17.85,,
289,05/25/23 12:24:00 PM,123.5,126.9,17.85,,
290,05/25/23 12:24:05 PM,123.5,126.9,17.84,,
291,05/25/23 12:24:10 PM,123.5,126.9,17.85,,
292,05/25/23 12:24:15 PM,123.4,126.9,17.85,,
293,05/25/23 12:24:20 PM,123.4,126.9,17.85,,
294,05/25/23 12:24:25 PM,123.5,126.9,17.85,,
295,05/25/23 12:24:30 PM,123.4,127.3,17.85,,
296,05/25/23 12:24:35 PM,123.4,126.9,17.85,,
297,05/25/23 12:24:40 PM,123.5,126.9,17.85,,
298,05/25/23 12:24:45 PM,123.4,126.5,17.85,,
299,05/25/23 12:24:50 PM,123.4,126.9,17.85,,
300,05/25/23 12:24:55 PM,123.4,126.9,17.85,,
301,05/25/23 12:25:00 PM,123.5,126.9,17.85,,
302,05/25/23 12:25:05 PM,123.5,126.9,17.85,,
303,05/25/23 12:25:10 PM,123.5,126.9,17.85,,
304,05/25/23 12:25:15 PM,123.5,126.9,17.85,,
305,05/25/23 12:25:20 PM,123.5,126.9,17.85,,
306,05/25/23 12:25:25 PM,123.5,126.9,17.85,,
307,05/25/23 12:25:30 PM,123.5,127.3,17.85,,
308,05/25/23 12:25:35 PM,123.5,126.9,17.85,,
309,05/25/23 12:25:40 PM,123.4,126.9,17.85,,
310,05/25/23 12:25:45 PM,123.5,126.9,17.85,,
311,05/25/23 12:25:50 PM,123.5,126.9,17.85,,
312,05/25/23 12:25:55 PM,123.6,126.9,17.86,,
313,05/25/23 12:26:00 PM,123.5,126.9,17.85,,
314,05/25/23 12:26:05 PM,123.5,126.9,17.85,,
315,05/25/23 12:26:10 PM,123.5,127.3,17.85,,
316,05/25/23 12:26:15 PM,123.5,126.9,17.86,,
317,05/25/23 12:26:20 PM,123.5,126.9,17.86,,
318,05/25/23 12:26:25 PM,123.6,126.9,17.85,,
319,05/25/23 12:26:30 PM,123.6,126.9,17.86,,
320,05/25/23 12:26:35 PM,123.6,126.9,17.86,,
321,05/25/23 12:26:40 PM,123.5,126.9,17.86,,
322,05/25/23 12:26:45 PM,123.6,126.9,17.86,,
323,05/25/23 12:26:50 PM,123.6,126.9,17.86,,
324,05/25/23 12:26:55 PM,123.6,126.9,17.86,,
325,05/25/23 12:27:00 PM,123.6,126.9,17.86,,
326,05/25/23 12:27:05 PM,123.6,127.3,17.86,,
327,05/25/23 12:27:10 PM,123.6,126.9,17.86,,
328,05/25/23 12:27:15 PM,123.6,127.3,17.86,,
329,05/25/23 12:27:20 PM,123.6,126.9,17.86,,
330,05/25/23 12:27:25 PM,123.6,126.9,17.86,,
331,05/25/23 12:27:30 PM,123.6,126.9,17.86,,
332,05/25/23 12:27:35 PM,123.6,126.9,17.86,,
333,05/25/23 12:27:40 PM,123.6,126.9,17.86,,
334,05/25/23 12:27:45 PM,123.6,126.9,17.86,,
335,05/25/23 12:27:50 PM,123.7,126.9,17.86,,
336,05/25/23 12:27:55 PM,123.6,126.9,17.86,,
337,05/25/23 12:28:00 PM,123.6,127.3,17.86,,
338,05/25/23 12:28:05 PM,123.6,126.9,17.87,,
339,05/25/23 12:28:10 PM,123.7,126.9,17.86,,
340,05/25/23 12:28:15 PM,123.6,126.9,17.86,,
341,05/25/23 12:28:20 PM,123.7,126.9,17.86,,
342,05/25/23 12:28:25 PM,123.6,127.3,17.87,,
343,05/25/23 12:28:30 PM,123.7,126.9,17.86,,
344,05/25/23 12:28:35 PM,123.6,126.9,17.86,,
345,05/25/23 12:28:40 PM,123.6,126.9,17.86,,
346,05/25/23 12:28:45 PM,123.7,126.9,17.86,,
347,05/25/23 12:28:50 PM,123.6,126.9,17.86,,
348,05/25/23 12:28:55 PM,123.7,126.9,17.86,,
349,05/25/23 12:29:00 PM,123.7,126.9,17.87,,
350,05/25/23 12:29:05 PM,123.7,126.9,17.86,,
351,05/25/23 12:29:10 PM,123.7,126.9,17.86,,
352,05/25/23 12:29:15 PM,123.7,126.9,17.86,,
353,05/25/23 12:29:20 PM,123.7,126.9,17.87,,
354,05/25/23 12:29:25 PM,123.7,127.3,17.86,,
355,05/25/23 12:29:30 PM,123.7,126.9,17.86,,
356,05/25/23 12:29:35 PM,123.7,126.9,17.86,,
357,05/25/23 12:29:40 PM,123.7,126.9,17.86,,
358,05/25/23 12:29:45 PM,123.7,126.9,17.86,,
359,05/25/23 12:29:50 PM,123.7,127.3,17.86,,
360,05/25/23 12:29:55 PM,123.7,126.9,17.87,,
361,05/25/23 12:30:00 PM,123.6,126.9,17.87,,
362,05/25/23 12:30:05 PM,123.7,126.9,17.87,,
363,05/25/23 12:30:10 PM,123.7,126.9,17.87,,
364,05/25/23 12:30:15 PM,123.7,127.3,17.87,,
365,05/25/23 12:30:20 PM,123.7,126.9,17.87,,
366,05/25/23 12:30:25 PM,123.7,127.3,17.87,,
367,05/25/23 12:30:30 PM,123.7,126.9,17.87,,
368,05/25/23 12:30:35 PM,123.7,126.9,17.87,,
369,05/25/23 12:30:40 PM,123.7,126.9,17.87,,
370,05/25/23 12:30:45 PM,123.7,127.3,17.87,,
371,05/25/23 12:30:50 PM,123.7,127.3,17.87,,
372,05/25/23 12:30:55 PM,123.7,126.9,17.87,,
373,05/25/23 12:31:00 PM,123.7,127.3,17.87,,
374,05/25/23 12:31:05 PM,123.7,126.9,17.89,,
375,05/25/23 12:31:10 PM,123.8,126.9,17.89,,
376,05/25/23 12:31:15 PM,123.7,126.9,17.89,,
377,05/25/23 12:31:20 PM,123.7,126.9,17.89,,
378,05/25/23 12:31:25 PM,123.7,126.9,17.89,,
379,05/25/23 12:31:30 PM,123.7,126.9,17.89,,
380,05/25/23 12:31:35 PM,123.7,126.9,17.89,,
381,05/25/23 12:31:40 PM,123.7,126.9,17.89,,
382,05/25/23 12:31:45 PM,123.8,126.9,17.89,,
383,05/25/23 12:31:50 PM,123.7,126.9,17.89,,
384,05/25/23 12:31:55 PM,123.7,126.9,17.89,,
385,05/25/23 12:32:00 PM,123.7,127.3,17.90,,
386,05/25/23 12:32:05 PM,123.7,126.9,17.89,,
387,05/25/23 12:32:10 PM,123.8,126.9,17.89,,
388,05/25/23 12:32:15 PM,123.7,127.3,17.89,,
389,05/25/23 12:32:20 PM,123.8,127.3,17.89,,
390,05/25/23 12:32:25 PM,123.8,127.3,17.89,,
391,05/25/23 12:32:30 PM,123.8,126.9,17.89,,
392,05/25/23 12:32:35 PM,123.7,127.3,17.89,,
393,05/25/23 12:32:40 PM,123.8,126.9,17.89,,
394,05/25/23 12:32:45 PM,123.8,126.9,17.89,,
395,05/25/23 12:32:50 PM,123.8,127.3,17.89,,
396,05/25/23 12:32:55 PM,123.8,126.9,17.89,,
397,05/25/23 12:33:00 PM,123.8,126.9,17.89,,
398,05/25/23 12:33:05 PM,123.8,127.3,17.89,,
399,05/25/23 12:33:10 PM,123.8,126.9,17.89,,
400,05/25/23 12:33:15 PM,123.8,127.3,17.90,,
401,05/25/23 12:33:20 PM,123.8,126.9,17.89,,
402,05/25/23 12:33:25 PM,123.9,127.3,17.90,,
403,05/25/23 12:33:30 PM,123.8,126.9,17.89,,
404,05/25/23 12:33:35 PM,123.8,126.9,17.89,,
405,05/25/23 12:33:40 PM,123.9,127.3,17.89,,
406,05/25/23 12:33:45 PM,123.8,126.9,17.89,,
407,05/25/23 12:33:50 PM,123.8,127.3,17.90,,
408,05/25/23 12:33:55 PM,123.8,126.9,17.90,,
409,05/25/23 12:34:00 PM,123.8,126.9,17.89,,
410,05/25/23 12:34:05 PM,123.8,127.3,17.89,,
411,05/25/23 12:34:10 PM,123.9,127.3,17.90,,
412,05/25/23 12:34:15 PM,123.9,127.7,17.90,,
413,05/25/23 12:34:20 PM,123.8,127.3,17.90,,
414,05/25/23 12:34:25 PM,123.8,127.3,17.90,,
415,05/25/23 12:34:30 PM,123.9,126.9,17.89,,
416,05/25/23 12:34:35 PM,123.8,127.3,17.90,,
417,05/25/23 12:34:40 PM,123.9,127.3,17.89,,
418,05/25/23 12:34:45 PM,123.9,126.9,17.89,,
419,05/25/23 12:34:50 PM,124.0,127.3,17.89,,
420,05/25/23 12:34:55 PM,123.8,127.3,17.90,,
421,05/25/23 12:35:00 PM,123.9,127.3,17.90,,
422,05/25/23 12:35:05 PM,123.8,127.3,17.89,,
423,05/25/23 12:35:10 PM,123.9,127.3,17.90,,
424,05/25/23 12:35:15 PM,123.9,126.9,17.89,,
425,05/25/23 12:35:20 PM,123.9,127.3,17.90,,
426,05/25/23 12:35:25 PM,123.9,127.3,17.89,,
427,05/25/23 12:35:30 PM,123.9,126.9,17.90,,
428,05/25/23 12:35:35 PM,123.8,127.3,17.89,,
429,05/25/23 12:35:40 PM,123.8,127.3,17.90,,
430,05/25/23 12:35:45 PM,123.9,127.3,17.90,,
431,05/25/23 12:35:50 PM,123.9,126.9,17.90,,
432,05/25/23 12:35:55 PM,123.9,126.9,17.90,,
433,05/25/23 12:36:00 PM,123.9,127.3,17.89,,
434,05/25/23 12:36:05 PM,123.9,127.3,17.90,,
435,05/25/23 12:36:10 PM,123.9,127.3,17.90,,
436,05/25/23 12:36:15 PM,123.9,127.3,17.90,,
437,05/25/23 12:36:20 PM,123.9,127.3,17.90,,
438,05/25/23 12:36:25 PM,123.9,127.3,17.89,,
439,05/25/23 12:36:30 PM,123.9,127.3,17.90,,
440,05/25/23 12:36:35 PM,123.9,127.3,17.90,,
