"Plot Title: mgas_nhc_cb_riffle_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10871155, SEN S/N: 10871155)","Temp, °C (LGR S/N: 10871155, SEN S/N: 10871155)","Coupler Attached (LGR S/N: 10871155)","Host Connected (LGR S/N: 10871155)","Coupler Detached (LGR S/N: 10871155)","Stopped (LGR S/N: 10871155)","End Of File (LGR S/N: 10871155)"
57,06/15/23 04:00:00 AM,7.42,21.04,,,,,
58,06/15/23 04:15:00 AM,7.44,20.98,,,,,
59,06/15/23 04:30:00 AM,7.47,20.90,,,,,
60,06/15/23 04:45:00 AM,7.43,20.82,,,,,
61,06/15/23 05:00:00 AM,7.47,20.76,,,,,
62,06/15/23 05:15:00 AM,7.51,20.68,,,,,
63,06/15/23 05:30:00 AM,7.48,20.62,,,,,
64,06/15/23 05:45:00 AM,7.52,20.56,,,,,
65,06/15/23 06:00:00 AM,7.51,20.48,,,,,
66,06/15/23 06:15:00 AM,7.53,20.44,,,,,
67,06/15/23 06:30:00 AM,7.54,20.38,,,,,
68,06/15/23 06:45:00 AM,7.54,20.30,,,,,
69,06/15/23 07:00:00 AM,7.56,20.24,,,,,
70,06/15/23 07:15:00 AM,7.62,20.20,,,,,
71,06/15/23 07:30:00 AM,7.61,20.18,,,,,
72,06/15/23 07:45:00 AM,7.65,20.16,,,,,
73,06/15/23 08:00:00 AM,7.70,20.18,,,,,
74,06/15/23 08:15:00 AM,7.68,20.16,,,,,
75,06/15/23 08:30:00 AM,7.83,20.14,,,,,
76,06/15/23 08:45:00 AM,7.90,20.16,,,,,
77,06/15/23 09:00:00 AM,7.99,20.18,,,,,
78,06/15/23 09:15:00 AM,8.05,20.22,,,,,
79,06/15/23 09:30:00 AM,8.08,20.28,,,,,
80,06/15/23 09:45:00 AM,8.16,20.32,,,,,
81,06/15/23 10:00:00 AM,8.34,20.36,,,,,
82,06/15/23 10:15:00 AM,8.49,20.44,,,,,
83,06/15/23 10:30:00 AM,8.58,20.54,,,,,
84,06/15/23 10:45:00 AM,8.72,20.68,,,,,
85,06/15/23 11:00:00 AM,8.86,20.86,,,,,
86,06/15/23 11:15:00 AM,8.94,21.04,,,,,
87,06/15/23 11:30:00 AM,9.07,21.16,,,,,
88,06/15/23 11:45:00 AM,9.29,21.40,,,,,
89,06/15/23 12:00:00 PM,9.36,21.68,,,,,
90,06/15/23 12:15:00 PM,9.48,21.98,,,,,
91,06/15/23 12:30:00 PM,9.62,22.22,,,,,
92,06/15/23 12:45:00 PM,9.62,22.48,,,,,
93,06/15/23 01:00:00 PM,9.32,22.70,,,,,
94,06/15/23 01:15:00 PM,8.80,22.60,,,,,
95,06/15/23 01:30:00 PM,8.58,22.78,,,,,
96,06/15/23 01:45:00 PM,9.13,23.02,,,,,
97,06/15/23 02:00:00 PM,8.82,23.32,,,,,
98,06/15/23 02:15:00 PM,8.50,23.00,,,,,
99,06/15/23 02:30:00 PM,8.31,23.32,,,,,
100,06/15/23 02:45:00 PM,8.62,23.56,,,,,
101,06/15/23 03:00:00 PM,8.83,23.72,,,,,
102,06/15/23 03:15:00 PM,9.07,23.72,,,,,
103,06/15/23 03:30:00 PM,9.04,23.80,,,,,
104,06/15/23 03:45:00 PM,9.04,24.00,,,,,
105,06/15/23 04:00:00 PM,9.23,24.12,,,,,
106,06/15/23 04:15:00 PM,9.16,24.18,,,,,
107,06/15/23 04:30:00 PM,9.00,24.28,,,,,
108,06/15/23 04:45:00 PM,9.06,24.28,,,,,
109,06/15/23 05:00:00 PM,9.02,24.28,,,,,
110,06/15/23 05:15:00 PM,9.06,24.34,,,,,
111,06/15/23 05:30:00 PM,8.92,24.34,,,,,
112,06/15/23 05:45:00 PM,8.82,24.34,,,,,
113,06/15/23 06:00:00 PM,8.52,24.30,,,,,
114,06/15/23 06:15:00 PM,8.59,24.26,,,,,
115,06/15/23 06:30:00 PM,8.58,24.16,,,,,
116,06/15/23 06:45:00 PM,8.48,24.16,,,,,
117,06/15/23 07:00:00 PM,8.37,24.14,,,,,
118,06/15/23 07:15:00 PM,8.29,24.06,,,,,
119,06/15/23 07:30:00 PM,8.22,24.00,,,,,
120,06/15/23 07:45:00 PM,8.13,23.92,,,,,
121,06/15/23 08:00:00 PM,8.04,23.84,,,,,
122,06/15/23 08:15:00 PM,7.97,23.74,,,,,
123,06/15/23 08:30:00 PM,7.86,23.66,,,,,
124,06/15/23 08:45:00 PM,7.83,23.56,,,,,
125,06/15/23 09:00:00 PM,7.73,23.46,,,,,
126,06/15/23 09:15:00 PM,7.65,23.36,,,,,
127,06/15/23 09:30:00 PM,7.58,23.26,,,,,
128,06/15/23 09:45:00 PM,7.54,23.16,,,,,
129,06/15/23 10:00:00 PM,7.48,23.06,,,,,
130,06/15/23 10:15:00 PM,7.43,22.96,,,,,
131,06/15/23 10:30:00 PM,7.37,22.88,,,,,
132,06/15/23 10:45:00 PM,7.30,22.78,,,,,
133,06/15/23 11:00:00 PM,7.27,22.70,,,,,
134,06/15/23 11:15:00 PM,7.27,22.62,,,,,
135,06/15/23 11:30:00 PM,7.23,22.52,,,,,
136,06/15/23 11:45:00 PM,7.22,22.46,,,,,
137,06/16/23 12:00:00 AM,7.19,22.36,,,,,
138,06/16/23 12:15:00 AM,7.20,22.28,,,,,
139,06/16/23 12:30:00 AM,7.22,22.20,,,,,
140,06/16/23 12:45:00 AM,7.23,22.12,,,,,
141,06/16/23 01:00:00 AM,7.23,22.04,,,,,
142,06/16/23 01:15:00 AM,7.24,21.96,,,,,
143,06/16/23 01:30:00 AM,7.25,21.88,,,,,
144,06/16/23 01:45:00 AM,7.25,21.80,,,,,
145,06/16/23 02:00:00 AM,7.28,21.74,,,,,
146,06/16/23 02:15:00 AM,7.29,21.68,,,,,
147,06/16/23 02:30:00 AM,7.29,21.60,,,,,
148,06/16/23 02:45:00 AM,7.33,21.54,,,,,
149,06/16/23 03:00:00 AM,7.33,21.48,,,,,
150,06/16/23 03:15:00 AM,7.25,21.44,,,,,
151,06/16/23 03:30:00 AM,7.32,21.36,,,,,
152,06/16/23 03:45:00 AM,7.34,21.30,,,,,
153,06/16/23 04:00:00 AM,7.36,21.22,,,,,
154,06/16/23 04:15:00 AM,7.38,21.16,,,,,
155,06/16/23 04:30:00 AM,7.41,21.12,,,,,
156,06/16/23 04:45:00 AM,7.39,21.04,,,,,
157,06/16/23 05:00:00 AM,7.35,20.98,,,,,
158,06/16/23 05:15:00 AM,7.42,20.92,,,,,
159,06/16/23 05:30:00 AM,7.39,20.88,,,,,
160,06/16/23 05:45:00 AM,7.42,20.82,,,,,
161,06/16/23 06:00:00 AM,7.45,20.74,,,,,
162,06/16/23 06:15:00 AM,7.41,20.70,,,,,
163,06/16/23 06:30:00 AM,7.44,20.66,,,,,
164,06/16/23 06:45:00 AM,7.51,20.60,,,,,
165,06/16/23 07:00:00 AM,7.46,20.60,,,,,
166,06/16/23 07:15:00 AM,7.45,20.54,,,,,
167,06/16/23 07:30:00 AM,7.55,20.48,,,,,
168,06/16/23 07:45:00 AM,7.56,20.46,,,,,
169,06/16/23 08:00:00 AM,7.63,20.44,,,,,
170,06/16/23 08:15:00 AM,7.66,20.42,,,,,
171,06/16/23 08:30:00 AM,7.70,20.42,,,,,
172,06/16/23 08:45:00 AM,7.67,20.44,,,,,
173,06/16/23 09:00:00 AM,7.71,20.46,,,,,
174,06/16/23 09:15:00 AM,7.80,20.44,,,,,
175,06/16/23 09:30:00 AM,7.82,20.48,,,,,
176,06/16/23 09:45:00 AM,7.84,20.52,,,,,
177,06/16/23 10:00:00 AM,8.01,20.58,,,,,
178,06/16/23 10:15:00 AM,8.19,20.70,,,,,
179,06/16/23 10:30:00 AM,8.31,20.86,,,,,
180,06/16/23 10:45:00 AM,8.48,21.08,,,,,
181,06/16/23 11:00:00 AM,8.59,21.32,,,,,
182,06/16/23 11:15:00 AM,8.73,21.60,,,,,
183,06/16/23 11:30:00 AM,8.94,21.98,,,,,
184,06/16/23 11:45:00 AM,9.13,22.32,,,,,
185,06/16/23 12:00:00 PM,8.87,22.64,,,,,
186,06/16/23 12:15:00 PM,8.77,22.92,,,,,
187,06/16/23 12:30:00 PM,8.24,23.26,,,,,
188,06/16/23 12:45:00 PM,7.68,22.98,,,,,
189,06/16/23 01:00:00 PM,7.64,22.82,,,,,
190,06/16/23 01:15:00 PM,7.77,22.84,,,,,
191,06/16/23 01:30:00 PM,8.02,23.00,,,,,
192,06/16/23 01:45:00 PM,7.93,23.24,,,,,
193,06/16/23 02:00:00 PM,7.84,23.34,,,,,
194,06/16/23 02:15:00 PM,7.90,23.62,,,,,
195,06/16/23 02:30:00 PM,7.81,23.58,,,,,
196,06/16/23 02:45:00 PM,7.71,23.62,,,,,
197,06/16/23 03:00:00 PM,7.66,23.70,,,,,
198,06/16/23 03:15:00 PM,7.94,23.94,,,,,
199,06/16/23 03:30:00 PM,7.86,24.14,,,,,
200,06/16/23 03:45:00 PM,8.06,24.28,,,,,
201,06/16/23 04:00:00 PM,8.18,24.40,,,,,
202,06/16/23 04:15:00 PM,8.29,24.66,,,,,
203,06/16/23 04:30:00 PM,8.08,24.70,,,,,
204,06/16/23 04:45:00 PM,8.12,24.74,,,,,
205,06/16/23 05:00:00 PM,8.00,24.86,,,,,
206,06/16/23 05:15:00 PM,7.74,25.04,,,,,
207,06/16/23 05:30:00 PM,7.71,24.50,,,,,
208,06/16/23 05:45:00 PM,8.20,24.88,,,,,
209,06/16/23 06:00:00 PM,8.11,24.94,,,,,
210,06/16/23 06:15:00 PM,8.23,25.02,,,,,
211,06/16/23 06:30:00 PM,8.03,24.96,,,,,
212,06/16/23 06:45:00 PM,8.05,25.00,,,,,
213,06/16/23 07:00:00 PM,8.01,24.98,,,,,
214,06/16/23 07:15:00 PM,8.00,24.96,,,,,
215,06/16/23 07:30:00 PM,7.91,24.88,,,,,
216,06/16/23 07:45:00 PM,7.80,24.80,,,,,
217,06/16/23 08:00:00 PM,7.72,24.76,,,,,
218,06/16/23 08:15:00 PM,7.67,24.66,,,,,
219,06/16/23 08:30:00 PM,7.60,24.58,,,,,
220,06/16/23 08:45:00 PM,7.51,24.48,,,,,
221,06/16/23 09:00:00 PM,7.43,24.36,,,,,
222,06/16/23 09:15:00 PM,7.36,24.26,,,,,
223,06/16/23 09:30:00 PM,7.35,24.16,,,,,
224,06/16/23 09:45:00 PM,7.22,24.06,,,,,
225,06/16/23 10:00:00 PM,7.22,23.94,,,,,
226,06/16/23 10:15:00 PM,7.19,23.82,,,,,
227,06/16/23 10:30:00 PM,7.15,23.70,,,,,
228,06/16/23 10:45:00 PM,7.13,23.56,,,,,
229,06/16/23 11:00:00 PM,7.09,23.44,,,,,
230,06/16/23 11:15:00 PM,7.08,23.34,,,,,
231,06/16/23 11:30:00 PM,7.04,23.20,,,,,
232,06/16/23 11:45:00 PM,7.00,23.06,,,,,
233,06/17/23 12:00:00 AM,7.00,22.94,,,,,
234,06/17/23 12:15:00 AM,6.96,22.80,,,,,
235,06/17/23 12:30:00 AM,7.01,22.64,,,,,
236,06/17/23 12:45:00 AM,7.03,22.50,,,,,
237,06/17/23 01:00:00 AM,7.04,22.36,,,,,
238,06/17/23 01:15:00 AM,7.06,22.24,,,,,
239,06/17/23 01:30:00 AM,7.08,22.12,,,,,
240,06/17/23 01:45:00 AM,7.11,21.96,,,,,
241,06/17/23 02:00:00 AM,7.16,21.84,,,,,
242,06/17/23 02:15:00 AM,7.17,21.72,,,,,
243,06/17/23 02:30:00 AM,7.19,21.60,,,,,
244,06/17/23 02:45:00 AM,7.23,21.48,,,,,
245,06/17/23 03:00:00 AM,7.25,21.36,,,,,
246,06/17/23 03:15:00 AM,7.26,21.26,,,,,
247,06/17/23 03:30:00 AM,7.27,21.16,,,,,
248,06/17/23 03:45:00 AM,7.30,21.06,,,,,
249,06/17/23 04:00:00 AM,7.32,20.96,,,,,
250,06/17/23 04:15:00 AM,7.35,20.84,,,,,
251,06/17/23 04:30:00 AM,7.38,20.76,,,,,
252,06/17/23 04:45:00 AM,7.41,20.66,,,,,
253,06/17/23 05:00:00 AM,7.36,20.62,,,,,
254,06/17/23 05:15:00 AM,7.44,20.48,,,,,
255,06/17/23 05:30:00 AM,7.41,20.36,,,,,
256,06/17/23 05:45:00 AM,7.48,20.28,,,,,
257,06/17/23 06:00:00 AM,7.51,20.18,,,,,
258,06/17/23 06:15:00 AM,7.51,20.14,,,,,
259,06/17/23 06:30:00 AM,7.54,20.04,,,,,
260,06/17/23 06:45:00 AM,7.58,19.94,,,,,
261,06/17/23 07:00:00 AM,7.62,19.86,,,,,
262,06/17/23 07:15:00 AM,7.61,19.84,,,,,
263,06/17/23 07:30:00 AM,7.58,19.76,,,,,
264,06/17/23 07:45:00 AM,7.71,19.72,,,,,
265,06/17/23 08:00:00 AM,7.75,19.68,,,,,
266,06/17/23 08:15:00 AM,7.63,19.84,,,,,
267,06/17/23 08:30:00 AM,7.74,19.74,,,,,
268,06/17/23 08:45:00 AM,7.80,19.74,,,,,
269,06/17/23 09:00:00 AM,7.74,19.78,,,,,
270,06/17/23 09:15:00 AM,8.01,19.70,,,,,
271,06/17/23 09:30:00 AM,8.11,19.70,,,,,
272,06/17/23 09:45:00 AM,8.22,19.74,,,,,
273,06/17/23 10:00:00 AM,8.28,19.84,,,,,
274,06/17/23 10:15:00 AM,8.53,19.96,,,,,
275,06/17/23 10:30:00 AM,8.68,20.14,,,,,
276,06/17/23 10:45:00 AM,8.87,20.36,,,,,
277,06/17/23 11:00:00 AM,9.05,20.66,,,,,
278,06/17/23 11:15:00 AM,9.20,21.00,,,,,
279,06/17/23 11:30:00 AM,9.30,21.30,,,,,
280,06/17/23 11:45:00 AM,9.43,21.64,,,,,
281,06/17/23 12:00:00 PM,9.53,22.00,,,,,
282,06/17/23 12:15:00 PM,9.58,22.34,,,,,
283,06/17/23 12:30:00 PM,9.66,22.66,,,,,
284,06/17/23 12:45:00 PM,9.69,22.96,,,,,
285,06/17/23 01:00:00 PM,9.75,23.26,,,,,
286,06/17/23 01:15:00 PM,9.73,23.52,,,,,
287,06/17/23 01:30:00 PM,9.76,23.76,,,,,
288,06/17/23 01:45:00 PM,9.75,23.96,,,,,
289,06/17/23 02:00:00 PM,9.73,24.14,,,,,
290,06/17/23 02:15:00 PM,9.68,24.26,,,,,
291,06/17/23 02:30:00 PM,9.63,24.34,,,,,
292,06/17/23 02:45:00 PM,9.58,24.38,,,,,
293,06/17/23 03:00:00 PM,9.54,24.42,,,,,
294,06/17/23 03:15:00 PM,9.45,24.46,,,,,
295,06/17/23 03:30:00 PM,9.37,24.48,,,,,
296,06/17/23 03:45:00 PM,9.29,24.56,,,,,
297,06/17/23 04:00:00 PM,9.24,24.60,,,,,
298,06/17/23 04:15:00 PM,9.17,24.64,,,,,
299,06/17/23 04:30:00 PM,9.10,24.66,,,,,
300,06/17/23 04:45:00 PM,9.06,24.74,,,,,
301,06/17/23 05:00:00 PM,8.99,24.76,,,,,
302,06/17/23 05:15:00 PM,8.96,24.80,,,,,
303,06/17/23 05:30:00 PM,8.85,24.82,,,,,
304,06/17/23 05:45:00 PM,8.79,24.84,,,,,
305,06/17/23 06:00:00 PM,8.71,24.82,,,,,
306,06/17/23 06:15:00 PM,8.63,24.78,,,,,
307,06/17/23 06:30:00 PM,8.57,24.74,,,,,
308,06/17/23 06:45:00 PM,8.46,24.68,,,,,
309,06/17/23 07:00:00 PM,8.41,24.62,,,,,
310,06/17/23 07:15:00 PM,8.29,24.52,,,,,
311,06/17/23 07:30:00 PM,8.22,24.42,,,,,
312,06/17/23 07:45:00 PM,8.14,24.32,,,,,
313,06/17/23 08:00:00 PM,8.05,24.20,,,,,
314,06/17/23 08:15:00 PM,7.96,24.06,,,,,
315,06/17/23 08:30:00 PM,7.89,23.90,,,,,
316,06/17/23 08:45:00 PM,7.82,23.74,,,,,
317,06/17/23 09:00:00 PM,7.75,23.58,,,,,
318,06/17/23 09:15:00 PM,7.71,23.42,,,,,
319,06/17/23 09:30:00 PM,7.66,23.24,,,,,
320,06/17/23 09:45:00 PM,7.63,23.08,,,,,
321,06/17/23 10:00:00 PM,7.58,22.92,,,,,
322,06/17/23 10:15:00 PM,7.56,22.76,,,,,
323,06/17/23 10:30:00 PM,7.55,22.60,,,,,
324,06/17/23 10:45:00 PM,7.56,22.44,,,,,
325,06/17/23 11:00:00 PM,7.54,22.30,,,,,
326,06/17/23 11:15:00 PM,7.57,22.16,,,,,
327,06/17/23 11:30:00 PM,7.56,22.04,,,,,
328,06/17/23 11:45:00 PM,7.57,21.90,,,,,
329,06/18/23 12:00:00 AM,7.56,21.78,,,,,
330,06/18/23 12:15:00 AM,7.58,21.66,,,,,
331,06/18/23 12:30:00 AM,7.62,21.54,,,,,
332,06/18/23 12:45:00 AM,7.61,21.42,,,,,
333,06/18/23 01:00:00 AM,7.63,21.34,,,,,
334,06/18/23 01:15:00 AM,7.65,21.22,,,,,
335,06/18/23 01:30:00 AM,7.62,21.12,,,,,
336,06/18/23 01:45:00 AM,7.65,21.02,,,,,
337,06/18/23 02:00:00 AM,7.68,20.92,,,,,
338,06/18/23 02:15:00 AM,7.71,20.82,,,,,
339,06/18/23 02:30:00 AM,7.70,20.76,,,,,
340,06/18/23 02:45:00 AM,7.73,20.66,,,,,
341,06/18/23 03:00:00 AM,7.73,20.58,,,,,
342,06/18/23 03:15:00 AM,7.73,20.50,,,,,
343,06/18/23 03:30:00 AM,7.74,20.42,,,,,
344,06/18/23 03:45:00 AM,7.76,20.34,,,,,
345,06/18/23 04:00:00 AM,7.77,20.28,,,,,
346,06/18/23 04:15:00 AM,7.76,20.20,,,,,
347,06/18/23 04:30:00 AM,7.77,20.12,,,,,
348,06/18/23 04:45:00 AM,7.80,20.04,,,,,
349,06/18/23 05:00:00 AM,7.81,19.98,,,,,
350,06/18/23 05:15:00 AM,7.79,19.92,,,,,
351,06/18/23 05:30:00 AM,7.85,19.84,,,,,
352,06/18/23 05:45:00 AM,7.72,19.80,,,,,
353,06/18/23 06:00:00 AM,7.80,19.72,,,,,
354,06/18/23 06:15:00 AM,7.85,19.64,,,,,
355,06/18/23 06:30:00 AM,7.84,19.58,,,,,
356,06/18/23 06:45:00 AM,7.87,19.52,,,,,
357,06/18/23 07:00:00 AM,7.91,19.46,,,,,
358,06/18/23 07:15:00 AM,7.92,19.42,,,,,
359,06/18/23 07:30:00 AM,7.94,19.38,,,,,
360,06/18/23 07:45:00 AM,8.01,19.36,,,,,
361,06/18/23 08:00:00 AM,8.05,19.34,,,,,
362,06/18/23 08:15:00 AM,8.06,19.36,,,,,
363,06/18/23 08:30:00 AM,8.09,19.36,,,,,
364,06/18/23 08:45:00 AM,8.14,19.34,,,,,
365,06/18/23 09:00:00 AM,8.20,19.38,,,,,
366,06/18/23 09:15:00 AM,8.27,19.40,,,,,
367,06/18/23 09:30:00 AM,8.31,19.46,,,,,
368,06/18/23 09:45:00 AM,8.37,19.54,,,,,
369,06/18/23 10:00:00 AM,8.39,19.62,,,,,
370,06/18/23 10:15:00 AM,8.54,19.74,,,,,
371,06/18/23 10:30:00 AM,8.69,19.92,,,,,
372,06/18/23 10:45:00 AM,8.83,20.10,,,,,
373,06/18/23 11:00:00 AM,9.00,20.38,,,,,
374,06/18/23 11:15:00 AM,9.21,20.68,,,,,
375,06/18/23 11:30:00 AM,9.36,20.98,,,,,
376,06/18/23 11:45:00 AM,9.52,21.26,,,,,
377,06/18/23 12:00:00 PM,9.59,21.46,,,,,
378,06/18/23 12:15:00 PM,9.75,21.78,,,,,
379,06/18/23 12:30:00 PM,9.86,22.06,,,,,
380,06/18/23 12:45:00 PM,9.97,22.44,,,,,
381,06/18/23 01:00:00 PM,9.92,22.74,,,,,
382,06/18/23 01:15:00 PM,9.86,23.02,,,,,
383,06/18/23 01:30:00 PM,8.97,23.12,,,,,
384,06/18/23 01:45:00 PM,9.69,23.36,,,,,
385,06/18/23 02:00:00 PM,8.85,23.78,,,,,
386,06/18/23 02:15:00 PM,8.37,23.72,,,,,
387,06/18/23 02:30:00 PM,8.62,23.38,,,,,
388,06/18/23 02:45:00 PM,8.79,23.68,,,,,
389,06/18/23 03:00:00 PM,8.68,23.88,,,,,
390,06/18/23 03:15:00 PM,8.70,23.94,,,,,
391,06/18/23 03:30:00 PM,8.83,24.12,,,,,
392,06/18/23 03:45:00 PM,9.07,24.20,,,,,
393,06/18/23 04:00:00 PM,8.86,24.50,,,,,
394,06/18/23 04:15:00 PM,9.15,24.62,,,,,
395,06/18/23 04:30:00 PM,8.80,24.58,,,,,
396,06/18/23 04:45:00 PM,9.08,24.72,,,,,
397,06/18/23 05:00:00 PM,9.10,24.82,,,,,
398,06/18/23 05:15:00 PM,9.00,24.92,,,,,
399,06/18/23 05:30:00 PM,8.94,24.96,,,,,
400,06/18/23 05:45:00 PM,8.87,24.96,,,,,
401,06/18/23 06:00:00 PM,8.83,25.02,,,,,
402,06/18/23 06:15:00 PM,8.69,25.00,,,,,
403,06/18/23 06:30:00 PM,8.59,25.00,,,,,
404,06/18/23 06:45:00 PM,8.42,25.04,,,,,
405,06/18/23 07:00:00 PM,8.41,25.00,,,,,
406,06/18/23 07:15:00 PM,8.40,25.00,,,,,
407,06/18/23 07:30:00 PM,8.27,24.94,,,,,
408,06/18/23 07:45:00 PM,8.27,24.90,,,,,
409,06/18/23 08:00:00 PM,8.11,24.82,,,,,
410,06/18/23 08:15:00 PM,8.05,24.72,,,,,
411,06/18/23 08:30:00 PM,7.92,24.62,,,,,
412,06/18/23 08:45:00 PM,7.80,24.46,,,,,
413,06/18/23 09:00:00 PM,7.74,24.36,,,,,
414,06/18/23 09:15:00 PM,7.67,24.24,,,,,
415,06/18/23 09:30:00 PM,7.62,24.10,,,,,
416,06/18/23 09:45:00 PM,7.54,23.98,,,,,
417,06/18/23 10:00:00 PM,7.49,23.86,,,,,
418,06/18/23 10:15:00 PM,7.44,23.74,,,,,
419,06/18/23 10:30:00 PM,7.38,23.60,,,,,
420,06/18/23 10:45:00 PM,7.32,23.46,,,,,
421,06/18/23 11:00:00 PM,7.30,23.32,,,,,
422,06/18/23 11:15:00 PM,7.25,23.20,,,,,
423,06/18/23 11:30:00 PM,7.24,23.08,,,,,
424,06/18/23 11:45:00 PM,7.22,22.94,,,,,
425,06/19/23 12:00:00 AM,7.19,22.84,,,,,
426,06/19/23 12:15:00 AM,7.19,22.72,,,,,
427,06/19/23 12:30:00 AM,7.17,22.62,,,,,
428,06/19/23 12:45:00 AM,7.17,22.50,,,,,
429,06/19/23 01:00:00 AM,7.17,22.40,,,,,
430,06/19/23 01:15:00 AM,7.18,22.30,,,,,
431,06/19/23 01:30:00 AM,7.20,22.22,,,,,
432,06/19/23 01:45:00 AM,7.25,22.12,,,,,
433,06/19/23 02:00:00 AM,7.26,22.04,,,,,
434,06/19/23 02:15:00 AM,7.27,21.98,,,,,
435,06/19/23 02:30:00 AM,7.26,21.90,,,,,
436,06/19/23 02:45:00 AM,7.29,21.84,,,,,
437,06/19/23 03:00:00 AM,7.34,21.78,,,,,
438,06/19/23 03:15:00 AM,7.30,21.70,,,,,
439,06/19/23 03:30:00 AM,7.33,21.64,,,,,
440,06/19/23 03:45:00 AM,7.33,21.58,,,,,
441,06/19/23 04:00:00 AM,7.36,21.50,,,,,
442,06/19/23 04:15:00 AM,7.36,21.46,,,,,
443,06/19/23 04:30:00 AM,7.37,21.40,,,,,
444,06/19/23 04:45:00 AM,7.35,21.36,,,,,
445,06/19/23 05:00:00 AM,7.35,21.30,,,,,
446,06/19/23 05:15:00 AM,7.36,21.24,,,,,
447,06/19/23 05:30:00 AM,7.39,21.20,,,,,
448,06/19/23 05:45:00 AM,7.38,21.16,,,,,
449,06/19/23 06:00:00 AM,7.41,21.14,,,,,
450,06/19/23 06:15:00 AM,7.24,21.08,,,,,
451,06/19/23 06:30:00 AM,7.33,21.04,,,,,
452,06/19/23 06:45:00 AM,7.26,21.02,,,,,
