"Plot Title: mgas_nhc_poolDown_DO"
"#","Date Time, GMT-04:00","DO conc, mg/L (LGR S/N: 10808939, SEN S/N: 10808939)","Temp, °C (LGR S/N: 10808939, SEN S/N: 10808939)","Coupler Attached (LGR S/N: 10808939)","Coupler Detached (LGR S/N: 10808939)","Host Connected (LGR S/N: 10808939)","Stopped (LGR S/N: 10808939)","End Of File (LGR S/N: 10808939)"
94,06/15/23 01:15:00 PM,10.06,23.10,,,,,
95,06/15/23 01:30:00 PM,10.11,23.32,,,,,
96,06/15/23 01:45:00 PM,10.13,23.56,,,,,
97,06/15/23 02:00:00 PM,10.17,23.84,,,,,
98,06/15/23 02:15:00 PM,10.18,24.04,,,,,
99,06/15/23 02:30:00 PM,10.15,24.22,,,,,
100,06/15/23 02:45:00 PM,10.17,24.42,,,,,
101,06/15/23 03:00:00 PM,10.14,24.54,,,,,
102,06/15/23 03:15:00 PM,10.05,24.62,,,,,
103,06/15/23 03:30:00 PM,9.96,24.58,,,,,
104,06/15/23 03:45:00 PM,9.84,24.62,,,,,
105,06/15/23 04:00:00 PM,9.76,24.68,,,,,
106,06/15/23 04:15:00 PM,9.68,24.76,,,,,
107,06/15/23 04:30:00 PM,9.59,24.72,,,,,
108,06/15/23 04:45:00 PM,9.50,24.68,,,,,
109,06/15/23 05:00:00 PM,9.32,24.58,,,,,
110,06/15/23 05:15:00 PM,9.23,24.54,,,,,
111,06/15/23 05:30:00 PM,9.09,24.48,,,,,
112,06/15/23 05:45:00 PM,9.00,24.40,,,,,
113,06/15/23 06:00:00 PM,8.85,24.32,,,,,
114,06/15/23 06:15:00 PM,8.70,24.22,,,,,
115,06/15/23 06:30:00 PM,8.58,24.14,,,,,
116,06/15/23 06:45:00 PM,8.53,24.02,,,,,
117,06/15/23 07:00:00 PM,8.46,23.92,,,,,
118,06/15/23 07:15:00 PM,8.34,23.80,,,,,
119,06/15/23 07:30:00 PM,8.22,23.70,,,,,
120,06/15/23 07:45:00 PM,8.12,23.60,,,,,
121,06/15/23 08:00:00 PM,8.01,23.50,,,,,
122,06/15/23 08:15:00 PM,7.94,23.40,,,,,
123,06/15/23 08:30:00 PM,7.85,23.30,,,,,
124,06/15/23 08:45:00 PM,7.75,23.22,,,,,
125,06/15/23 09:00:00 PM,7.67,23.12,,,,,
126,06/15/23 09:15:00 PM,7.59,23.02,,,,,
127,06/15/23 09:30:00 PM,7.54,22.94,,,,,
128,06/15/23 09:45:00 PM,7.47,22.84,,,,,
129,06/15/23 10:00:00 PM,7.43,22.74,,,,,
130,06/15/23 10:15:00 PM,7.38,22.66,,,,,
131,06/15/23 10:30:00 PM,7.36,22.56,,,,,
132,06/15/23 10:45:00 PM,7.34,22.48,,,,,
133,06/15/23 11:00:00 PM,7.32,22.40,,,,,
134,06/15/23 11:15:00 PM,7.32,22.30,,,,,
135,06/15/23 11:30:00 PM,7.31,22.22,,,,,
136,06/15/23 11:45:00 PM,7.31,22.12,,,,,
137,06/16/23 12:00:00 AM,7.31,22.04,,,,,
138,06/16/23 12:15:00 AM,7.32,21.96,,,,,
139,06/16/23 12:30:00 AM,7.32,21.88,,,,,
140,06/16/23 12:45:00 AM,7.33,21.82,,,,,
141,06/16/23 01:00:00 AM,7.34,21.74,,,,,
142,06/16/23 01:15:00 AM,7.34,21.66,,,,,
143,06/16/23 01:30:00 AM,7.35,21.60,,,,,
144,06/16/23 01:45:00 AM,7.35,21.54,,,,,
145,06/16/23 02:00:00 AM,7.36,21.48,,,,,
146,06/16/23 02:15:00 AM,7.38,21.42,,,,,
147,06/16/23 02:30:00 AM,7.39,21.36,,,,,
148,06/16/23 02:45:00 AM,7.39,21.30,,,,,
149,06/16/23 03:00:00 AM,7.40,21.24,,,,,
150,06/16/23 03:15:00 AM,7.40,21.18,,,,,
151,06/16/23 03:30:00 AM,7.39,21.12,,,,,
152,06/16/23 03:45:00 AM,7.39,21.06,,,,,
153,06/16/23 04:00:00 AM,7.40,21.02,,,,,
154,06/16/23 04:15:00 AM,7.41,20.96,,,,,
155,06/16/23 04:30:00 AM,7.40,20.90,,,,,
156,06/16/23 04:45:00 AM,7.41,20.86,,,,,
157,06/16/23 05:00:00 AM,7.41,20.80,,,,,
158,06/16/23 05:15:00 AM,7.41,20.76,,,,,
159,06/16/23 05:30:00 AM,7.42,20.70,,,,,
160,06/16/23 05:45:00 AM,7.41,20.64,,,,,
161,06/16/23 06:00:00 AM,7.43,20.60,,,,,
162,06/16/23 06:15:00 AM,7.42,20.54,,,,,
163,06/16/23 06:30:00 AM,7.43,20.50,,,,,
164,06/16/23 06:45:00 AM,7.44,20.46,,,,,
165,06/16/23 07:00:00 AM,7.47,20.40,,,,,
166,06/16/23 07:15:00 AM,7.49,20.38,,,,,
167,06/16/23 07:30:00 AM,7.53,20.34,,,,,
168,06/16/23 07:45:00 AM,7.55,20.32,,,,,
169,06/16/23 08:00:00 AM,7.60,20.32,,,,,
170,06/16/23 08:15:00 AM,7.67,20.30,,,,,
171,06/16/23 08:30:00 AM,7.74,20.32,,,,,
172,06/16/23 08:45:00 AM,7.86,20.40,,,,,
173,06/16/23 09:00:00 AM,8.01,20.54,,,,,
174,06/16/23 09:15:00 AM,8.17,20.68,,,,,
175,06/16/23 09:30:00 AM,8.27,20.80,,,,,
176,06/16/23 09:45:00 AM,8.35,20.90,,,,,
177,06/16/23 10:00:00 AM,8.47,21.04,,,,,
178,06/16/23 10:15:00 AM,8.58,21.22,,,,,
179,06/16/23 10:30:00 AM,8.73,21.42,,,,,
180,06/16/23 10:45:00 AM,8.88,21.64,,,,,
181,06/16/23 11:00:00 AM,9.02,21.90,,,,,
182,06/16/23 11:15:00 AM,9.17,22.18,,,,,
183,06/16/23 11:30:00 AM,9.26,22.48,,,,,
184,06/16/23 11:45:00 AM,9.39,22.80,,,,,
185,06/16/23 12:00:00 PM,9.48,23.10,,,,,
186,06/16/23 12:15:00 PM,9.58,23.42,,,,,
187,06/16/23 12:30:00 PM,9.68,23.70,,,,,
188,06/16/23 12:45:00 PM,9.77,23.96,,,,,
189,06/16/23 01:00:00 PM,9.84,24.26,,,,,
190,06/16/23 01:15:00 PM,9.85,24.48,,,,,
191,06/16/23 01:30:00 PM,9.90,24.66,,,,,
192,06/16/23 01:45:00 PM,9.93,24.82,,,,,
193,06/16/23 02:00:00 PM,9.97,25.10,,,,,
194,06/16/23 02:15:00 PM,10.00,25.36,,,,,
195,06/16/23 02:30:00 PM,9.99,25.56,,,,,
196,06/16/23 02:45:00 PM,9.97,25.72,,,,,
197,06/16/23 03:00:00 PM,9.97,25.90,,,,,
198,06/16/23 03:15:00 PM,9.90,26.06,,,,,
199,06/16/23 03:30:00 PM,9.88,26.12,,,,,
200,06/16/23 03:45:00 PM,9.83,26.22,,,,,
201,06/16/23 04:00:00 PM,9.69,26.16,,,,,
202,06/16/23 04:15:00 PM,9.56,26.04,,,,,
203,06/16/23 04:30:00 PM,9.41,26.00,,,,,
204,06/16/23 04:45:00 PM,9.30,25.98,,,,,
205,06/16/23 05:00:00 PM,9.21,25.94,,,,,
206,06/16/23 05:15:00 PM,8.96,25.76,,,,,
207,06/16/23 05:30:00 PM,8.81,25.56,,,,,
208,06/16/23 05:45:00 PM,8.67,25.48,,,,,
209,06/16/23 06:00:00 PM,8.62,25.40,,,,,
210,06/16/23 06:15:00 PM,8.55,25.32,,,,,
211,06/16/23 06:30:00 PM,8.40,25.18,,,,,
212,06/16/23 06:45:00 PM,8.25,25.04,,,,,
213,06/16/23 07:00:00 PM,8.12,24.90,,,,,
214,06/16/23 07:15:00 PM,8.01,24.80,,,,,
215,06/16/23 07:30:00 PM,7.93,24.70,,,,,
216,06/16/23 07:45:00 PM,7.83,24.60,,,,,
217,06/16/23 08:00:00 PM,7.73,24.48,,,,,
218,06/16/23 08:15:00 PM,7.63,24.38,,,,,
219,06/16/23 08:30:00 PM,7.55,24.26,,,,,
220,06/16/23 08:45:00 PM,7.46,24.14,,,,,
221,06/16/23 09:00:00 PM,7.38,24.02,,,,,
222,06/16/23 09:15:00 PM,7.30,23.90,,,,,
223,06/16/23 09:30:00 PM,7.23,23.78,,,,,
224,06/16/23 09:45:00 PM,7.18,23.66,,,,,
225,06/16/23 10:00:00 PM,7.15,23.56,,,,,
226,06/16/23 10:15:00 PM,7.09,23.44,,,,,
227,06/16/23 10:30:00 PM,7.06,23.32,,,,,
228,06/16/23 10:45:00 PM,7.02,23.18,,,,,
229,06/16/23 11:00:00 PM,6.99,23.06,,,,,
230,06/16/23 11:15:00 PM,6.99,22.94,,,,,
231,06/16/23 11:30:00 PM,6.98,22.82,,,,,
232,06/16/23 11:45:00 PM,6.99,22.68,,,,,
233,06/17/23 12:00:00 AM,7.00,22.54,,,,,
234,06/17/23 12:15:00 AM,7.01,22.40,,,,,
235,06/17/23 12:30:00 AM,7.01,22.28,,,,,
236,06/17/23 12:45:00 AM,7.03,22.14,,,,,
237,06/17/23 01:00:00 AM,7.03,22.04,,,,,
238,06/17/23 01:15:00 AM,7.04,21.92,,,,,
239,06/17/23 01:30:00 AM,7.06,21.78,,,,,
240,06/17/23 01:45:00 AM,7.08,21.68,,,,,
241,06/17/23 02:00:00 AM,7.12,21.56,,,,,
242,06/17/23 02:15:00 AM,7.15,21.44,,,,,
243,06/17/23 02:30:00 AM,7.16,21.34,,,,,
244,06/17/23 02:45:00 AM,7.18,21.24,,,,,
245,06/17/23 03:00:00 AM,7.19,21.14,,,,,
246,06/17/23 03:15:00 AM,7.22,21.02,,,,,
247,06/17/23 03:30:00 AM,7.21,20.92,,,,,
248,06/17/23 03:45:00 AM,7.23,20.82,,,,,
249,06/17/23 04:00:00 AM,7.28,20.72,,,,,
250,06/17/23 04:15:00 AM,7.28,20.64,,,,,
251,06/17/23 04:30:00 AM,7.29,20.54,,,,,
252,06/17/23 04:45:00 AM,7.30,20.46,,,,,
253,06/17/23 05:00:00 AM,7.31,20.36,,,,,
254,06/17/23 05:15:00 AM,7.34,20.28,,,,,
255,06/17/23 05:30:00 AM,7.36,20.20,,,,,
256,06/17/23 05:45:00 AM,7.36,20.12,,,,,
257,06/17/23 06:00:00 AM,7.38,20.04,,,,,
258,06/17/23 06:15:00 AM,7.39,19.96,,,,,
259,06/17/23 06:30:00 AM,7.41,19.90,,,,,
260,06/17/23 06:45:00 AM,7.42,19.82,,,,,
261,06/17/23 07:00:00 AM,7.44,19.76,,,,,
262,06/17/23 07:15:00 AM,7.49,19.72,,,,,
263,06/17/23 07:30:00 AM,7.50,19.66,,,,,
264,06/17/23 07:45:00 AM,7.56,19.64,,,,,
265,06/17/23 08:00:00 AM,7.61,19.62,,,,,
266,06/17/23 08:15:00 AM,7.68,19.60,,,,,
267,06/17/23 08:30:00 AM,7.76,19.62,,,,,
268,06/17/23 08:45:00 AM,7.88,19.72,,,,,
269,06/17/23 09:00:00 AM,8.08,19.84,,,,,
270,06/17/23 09:15:00 AM,8.23,19.98,,,,,
271,06/17/23 09:30:00 AM,8.35,20.08,,,,,
272,06/17/23 09:45:00 AM,8.48,20.18,,,,,
273,06/17/23 10:00:00 AM,8.62,20.34,,,,,
274,06/17/23 10:15:00 AM,8.71,20.48,,,,,
275,06/17/23 10:30:00 AM,8.83,20.68,,,,,
276,06/17/23 10:45:00 AM,9.00,20.94,,,,,
277,06/17/23 11:00:00 AM,9.11,21.20,,,,,
278,06/17/23 11:15:00 AM,9.20,21.46,,,,,
279,06/17/23 11:30:00 AM,9.29,21.72,,,,,
280,06/17/23 11:45:00 AM,9.33,21.94,,,,,
281,06/17/23 12:00:00 PM,9.38,22.18,,,,,
282,06/17/23 12:15:00 PM,9.44,22.40,,,,,
283,06/17/23 12:30:00 PM,9.49,22.62,,,,,
284,06/17/23 12:45:00 PM,9.51,22.78,,,,,
285,06/17/23 01:00:00 PM,9.52,22.92,,,,,
286,06/17/23 01:15:00 PM,9.57,23.08,,,,,
287,06/17/23 01:30:00 PM,9.58,23.30,,,,,
288,06/17/23 01:45:00 PM,9.60,23.46,,,,,
289,06/17/23 02:00:00 PM,9.59,23.62,,,,,
290,06/17/23 02:15:00 PM,9.63,23.84,,,,,
291,06/17/23 02:30:00 PM,9.64,24.06,,,,,
292,06/17/23 02:45:00 PM,9.61,24.24,,,,,
293,06/17/23 03:00:00 PM,9.60,24.40,,,,,
294,06/17/23 03:15:00 PM,9.58,24.52,,,,,
295,06/17/23 03:30:00 PM,9.56,24.62,,,,,
296,06/17/23 03:45:00 PM,9.53,24.74,,,,,
297,06/17/23 04:00:00 PM,9.50,24.86,,,,,
298,06/17/23 04:15:00 PM,9.48,24.92,,,,,
299,06/17/23 04:30:00 PM,9.42,24.96,,,,,
300,06/17/23 04:45:00 PM,9.36,24.96,,,,,
301,06/17/23 05:00:00 PM,9.32,24.98,,,,,
302,06/17/23 05:15:00 PM,9.28,25.00,,,,,
303,06/17/23 05:30:00 PM,9.22,24.98,,,,,
304,06/17/23 05:45:00 PM,9.15,24.94,,,,,
305,06/17/23 06:00:00 PM,9.04,24.84,,,,,
306,06/17/23 06:15:00 PM,8.91,24.70,,,,,
307,06/17/23 06:30:00 PM,8.76,24.52,,,,,
308,06/17/23 06:45:00 PM,8.62,24.36,,,,,
309,06/17/23 07:00:00 PM,8.49,24.20,,,,,
310,06/17/23 07:15:00 PM,8.37,24.06,,,,,
311,06/17/23 07:30:00 PM,8.26,23.90,,,,,
312,06/17/23 07:45:00 PM,8.15,23.74,,,,,
313,06/17/23 08:00:00 PM,8.06,23.58,,,,,
314,06/17/23 08:15:00 PM,7.96,23.40,,,,,
315,06/17/23 08:30:00 PM,7.88,23.24,,,,,
316,06/17/23 08:45:00 PM,7.81,23.08,,,,,
317,06/17/23 09:00:00 PM,7.74,22.92,,,,,
318,06/17/23 09:15:00 PM,7.68,22.76,,,,,
319,06/17/23 09:30:00 PM,7.63,22.62,,,,,
320,06/17/23 09:45:00 PM,7.60,22.48,,,,,
321,06/17/23 10:00:00 PM,7.58,22.34,,,,,
322,06/17/23 10:15:00 PM,7.55,22.20,,,,,
323,06/17/23 10:30:00 PM,7.54,22.08,,,,,
324,06/17/23 10:45:00 PM,7.53,21.94,,,,,
325,06/17/23 11:00:00 PM,7.52,21.84,,,,,
326,06/17/23 11:15:00 PM,7.52,21.72,,,,,
327,06/17/23 11:30:00 PM,7.52,21.62,,,,,
328,06/17/23 11:45:00 PM,7.50,21.52,,,,,
329,06/18/23 12:00:00 AM,7.50,21.42,,,,,
330,06/18/23 12:15:00 AM,7.52,21.34,,,,,
331,06/18/23 12:30:00 AM,7.53,21.24,,,,,
332,06/18/23 12:45:00 AM,7.52,21.16,,,,,
333,06/18/23 01:00:00 AM,7.52,21.08,,,,,
334,06/18/23 01:15:00 AM,7.53,21.00,,,,,
335,06/18/23 01:30:00 AM,7.54,20.92,,,,,
336,06/18/23 01:45:00 AM,7.54,20.86,,,,,
337,06/18/23 02:00:00 AM,7.55,20.78,,,,,
338,06/18/23 02:15:00 AM,7.54,20.72,,,,,
339,06/18/23 02:30:00 AM,7.55,20.66,,,,,
340,06/18/23 02:45:00 AM,7.55,20.60,,,,,
341,06/18/23 03:00:00 AM,7.55,20.52,,,,,
342,06/18/23 03:15:00 AM,7.57,20.46,,,,,
343,06/18/23 03:30:00 AM,7.57,20.40,,,,,
344,06/18/23 03:45:00 AM,7.57,20.32,,,,,
345,06/18/23 04:00:00 AM,7.57,20.26,,,,,
346,06/18/23 04:15:00 AM,7.58,20.20,,,,,
347,06/18/23 04:30:00 AM,7.58,20.12,,,,,
348,06/18/23 04:45:00 AM,7.58,20.06,,,,,
349,06/18/23 05:00:00 AM,7.60,20.00,,,,,
350,06/18/23 05:15:00 AM,7.59,19.94,,,,,
351,06/18/23 05:30:00 AM,7.60,19.88,,,,,
352,06/18/23 05:45:00 AM,7.61,19.80,,,,,
353,06/18/23 06:00:00 AM,7.61,19.74,,,,,
354,06/18/23 06:15:00 AM,7.61,19.68,,,,,
355,06/18/23 06:30:00 AM,7.62,19.62,,,,,
356,06/18/23 06:45:00 AM,7.65,19.56,,,,,
357,06/18/23 07:00:00 AM,7.67,19.50,,,,,
358,06/18/23 07:15:00 AM,7.70,19.46,,,,,
359,06/18/23 07:30:00 AM,7.73,19.44,,,,,
360,06/18/23 07:45:00 AM,7.77,19.40,,,,,
361,06/18/23 08:00:00 AM,7.84,19.38,,,,,
362,06/18/23 08:15:00 AM,7.88,19.40,,,,,
363,06/18/23 08:30:00 AM,7.93,19.42,,,,,
364,06/18/23 08:45:00 AM,7.99,19.50,,,,,
365,06/18/23 09:00:00 AM,8.20,19.64,,,,,
366,06/18/23 09:15:00 AM,8.36,19.78,,,,,
367,06/18/23 09:30:00 AM,8.46,19.90,,,,,
368,06/18/23 09:45:00 AM,8.56,20.00,,,,,
369,06/18/23 10:00:00 AM,8.67,20.14,,,,,
370,06/18/23 10:15:00 AM,8.77,20.28,,,,,
371,06/18/23 10:30:00 AM,8.93,20.48,,,,,
372,06/18/23 10:45:00 AM,9.06,20.68,,,,,
373,06/18/23 11:00:00 AM,9.20,20.96,,,,,
374,06/18/23 11:15:00 AM,9.34,21.24,,,,,
375,06/18/23 11:30:00 AM,9.48,21.50,,,,,
376,06/18/23 11:45:00 AM,9.61,21.74,,,,,
377,06/18/23 12:00:00 PM,9.72,22.00,,,,,
378,06/18/23 12:15:00 PM,9.78,22.26,,,,,
379,06/18/23 12:30:00 PM,9.88,22.48,,,,,
380,06/18/23 12:45:00 PM,9.95,22.70,,,,,
381,06/18/23 01:00:00 PM,10.01,23.02,,,,,
382,06/18/23 01:15:00 PM,10.05,23.28,,,,,
383,06/18/23 01:30:00 PM,10.07,23.54,,,,,
384,06/18/23 01:45:00 PM,10.12,23.82,,,,,
385,06/18/23 02:00:00 PM,10.12,24.10,,,,,
386,06/18/23 02:15:00 PM,10.13,24.34,,,,,
387,06/18/23 02:30:00 PM,10.14,24.60,,,,,
388,06/18/23 02:45:00 PM,10.12,24.76,,,,,
389,06/18/23 03:00:00 PM,10.06,24.88,,,,,
390,06/18/23 03:15:00 PM,10.03,25.00,,,,,
391,06/18/23 03:30:00 PM,9.98,25.12,,,,,
392,06/18/23 03:45:00 PM,9.92,25.28,,,,,
393,06/18/23 04:00:00 PM,9.88,25.38,,,,,
394,06/18/23 04:15:00 PM,9.82,25.54,,,,,
395,06/18/23 04:30:00 PM,9.75,25.66,,,,,
396,06/18/23 04:45:00 PM,9.69,25.72,,,,,
397,06/18/23 05:00:00 PM,9.59,25.74,,,,,
398,06/18/23 05:15:00 PM,9.50,25.76,,,,,
399,06/18/23 05:30:00 PM,9.44,25.80,,,,,
400,06/18/23 05:45:00 PM,9.35,25.80,,,,,
401,06/18/23 06:00:00 PM,9.26,25.74,,,,,
402,06/18/23 06:15:00 PM,9.12,25.64,,,,,
403,06/18/23 06:30:00 PM,8.98,25.52,,,,,
404,06/18/23 06:45:00 PM,8.83,25.40,,,,,
405,06/18/23 07:00:00 PM,8.66,25.28,,,,,
406,06/18/23 07:15:00 PM,8.51,25.14,,,,,
407,06/18/23 07:30:00 PM,8.36,25.00,,,,,
408,06/18/23 07:45:00 PM,8.21,24.82,,,,,
409,06/18/23 08:00:00 PM,8.07,24.66,,,,,
410,06/18/23 08:15:00 PM,7.93,24.48,,,,,
411,06/18/23 08:30:00 PM,7.81,24.30,,,,,
412,06/18/23 08:45:00 PM,7.70,24.12,,,,,
413,06/18/23 09:00:00 PM,7.57,23.92,,,,,
414,06/18/23 09:15:00 PM,7.47,23.74,,,,,
415,06/18/23 09:30:00 PM,7.39,23.56,,,,,
416,06/18/23 09:45:00 PM,7.33,23.40,,,,,
417,06/18/23 10:00:00 PM,7.27,23.26,,,,,
418,06/18/23 10:15:00 PM,7.22,23.12,,,,,
419,06/18/23 10:30:00 PM,7.18,22.98,,,,,
420,06/18/23 10:45:00 PM,7.16,22.84,,,,,
421,06/18/23 11:00:00 PM,7.15,22.72,,,,,
422,06/18/23 11:15:00 PM,7.12,22.60,,,,,
423,06/18/23 11:30:00 PM,7.11,22.48,,,,,
424,06/18/23 11:45:00 PM,7.09,22.38,,,,,
425,06/19/23 12:00:00 AM,7.12,22.26,,,,,
426,06/19/23 12:15:00 AM,7.11,22.16,,,,,
427,06/19/23 12:30:00 AM,7.12,22.08,,,,,
428,06/19/23 12:45:00 AM,7.13,21.98,,,,,
429,06/19/23 01:00:00 AM,7.14,21.90,,,,,
430,06/19/23 01:15:00 AM,7.14,21.84,,,,,
431,06/19/23 01:30:00 AM,7.15,21.76,,,,,
432,06/19/23 01:45:00 AM,7.16,21.68,,,,,
433,06/19/23 02:00:00 AM,7.18,21.62,,,,,
434,06/19/23 02:15:00 AM,7.18,21.56,,,,,
435,06/19/23 02:30:00 AM,7.17,21.52,,,,,
436,06/19/23 02:45:00 AM,7.19,21.46,,,,,
437,06/19/23 03:00:00 AM,7.21,21.40,,,,,
438,06/19/23 03:15:00 AM,7.19,21.36,,,,,
439,06/19/23 03:30:00 AM,7.21,21.30,,,,,
440,06/19/23 03:45:00 AM,7.21,21.26,,,,,
441,06/19/23 04:00:00 AM,7.28,21.22,,,,,
442,06/19/23 04:15:00 AM,7.31,21.18,,,,,
443,06/19/23 04:30:00 AM,7.31,21.14,,,,,
444,06/19/23 04:45:00 AM,7.30,21.10,,,,,
445,06/19/23 05:00:00 AM,7.29,21.06,,,,,
446,06/19/23 05:15:00 AM,7.32,21.02,,,,,
447,06/19/23 05:30:00 AM,7.31,21.00,,,,,
448,06/19/23 05:45:00 AM,7.33,20.96,,,,,
449,06/19/23 06:00:00 AM,7.32,20.94,,,,,
450,06/19/23 06:15:00 AM,7.32,20.92,,,,,
451,06/19/23 06:30:00 AM,7.33,20.88,,,,,
452,06/19/23 06:45:00 AM,7.33,20.86,,,,,
453,06/19/23 07:00:00 AM,7.34,20.84,,,,,
