"Plot Title: mgas_wd_station_4_2023-06-06"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458)","Full Range, μS/cm (LGR S/N: 10559458, SEN S/N: 10559458, LBL: SC)","Temp, °C (LGR S/N: 10559458, SEN S/N: 10559458)","Coupler Detached (LGR S/N: 10559458)","Coupler Attached (LGR S/N: 10559458)","Host Connected (LGR S/N: 10559458)","Stopped (LGR S/N: 10559458)","End Of File (LGR S/N: 10559458)"
25,06/06/23 11:03:30 AM,2.8,2.9,26.95,,,,,
26,06/06/23 11:03:35 AM,4.1,2.9,26.98,,,,,
27,06/06/23 11:03:40 AM,2.8,6.5,27.01,,,,,
28,06/06/23 11:03:45 AM,4.3,2.9,27.06,,,,,
29,06/06/23 11:03:50 AM,4.1,2.9,27.08,,,,,
30,06/06/23 11:03:55 AM,2.8,8.7,27.11,,,,,
31,06/06/23 11:04:00 AM,4.3,2.9,27.14,,,,,
32,06/06/23 11:04:05 AM,4.1,2.9,27.15,,,,,
33,06/06/23 11:04:10 AM,2.7,2.9,27.18,,,,,
34,06/06/23 11:04:15 AM,2.7,6.5,27.19,,,,,
35,06/06/23 11:04:20 AM,2.7,6.5,27.22,,,,,
36,06/06/23 11:04:25 AM,2.7,8.7,27.23,,,,,
37,06/06/23 11:04:30 AM,2.8,2.9,27.24,,,,,
38,06/06/23 11:04:35 AM,2.7,6.5,27.24,,,,,
39,06/06/23 11:04:40 AM,2.7,8.7,27.24,,,,,
40,06/06/23 11:04:45 AM,2.7,6.5,27.23,,,,,
41,06/06/23 11:04:50 AM,2.8,2.9,27.24,,,,,
42,06/06/23 11:04:55 AM,2.1,2.9,27.27,,,,,
43,06/06/23 11:05:00 AM,2.8,6.5,27.28,,,,,
44,06/06/23 11:05:05 AM,4.1,2.9,27.28,,,,,
45,06/06/23 11:05:10 AM,2.7,2.9,27.29,,,,,
46,06/06/23 11:05:15 AM,2.8,6.5,27.29,,,,,
47,06/06/23 11:05:20 AM,2.7,6.5,27.31,,,,,
48,06/06/23 11:05:25 AM,2.8,2.9,27.32,,,,,
49,06/06/23 11:05:30 AM,4.1,6.5,27.33,,,,,
50,06/06/23 11:05:35 AM,2.7,2.9,27.33,,,,,
51,06/06/23 11:05:40 AM,2.8,2.9,27.33,,,,,
52,06/06/23 11:05:45 AM,4.1,2.9,27.33,,,,,
53,06/06/23 11:05:50 AM,2.7,2.9,27.33,,,,,
54,06/06/23 11:05:55 AM,2.7,2.9,27.32,,,,,
55,06/06/23 11:06:00 AM,2.8,2.9,27.32,,,,,
56,06/06/23 11:06:05 AM,4.3,2.9,27.31,,,,,
57,06/06/23 11:06:10 AM,2.8,2.9,27.32,,,,,
58,06/06/23 11:06:15 AM,2.8,8.7,27.33,,,,,
59,06/06/23 11:06:20 AM,2.7,2.9,27.32,,,,,
60,06/06/23 11:06:25 AM,2.7,2.9,27.33,,,,,
61,06/06/23 11:06:30 AM,4.3,2.9,27.33,,,,,
62,06/06/23 11:06:35 AM,4.1,2.9,27.35,,,,,
63,06/06/23 11:06:40 AM,2.8,2.9,27.35,,,,,
64,06/06/23 11:06:45 AM,4.3,2.9,27.36,,,,,
65,06/06/23 11:06:50 AM,2.8,2.9,27.36,,,,,
66,06/06/23 11:06:55 AM,2.8,6.5,27.36,,,,,
67,06/06/23 11:07:00 AM,2.7,6.5,27.37,,,,,
68,06/06/23 11:07:05 AM,2.7,6.5,27.37,,,,,
69,06/06/23 11:07:10 AM,2.7,2.9,27.37,,,,,
70,06/06/23 11:07:15 AM,2.8,2.9,27.37,,,,,
71,06/06/23 11:07:20 AM,2.8,2.9,27.37,,,,,
72,06/06/23 11:07:25 AM,2.8,2.9,27.39,,,,,
73,06/06/23 11:07:30 AM,2.8,6.5,27.40,,,,,
74,06/06/23 11:07:35 AM,2.7,2.9,27.40,,,,,
75,06/06/23 11:07:40 AM,2.7,2.9,27.41,,,,,
76,06/06/23 11:07:45 AM,2.8,2.9,27.41,,,,,
77,06/06/23 11:07:50 AM,2.1,2.9,27.92,,,,,
78,06/06/23 11:07:55 AM,2.8,2.9,27.72,,,,,
79,06/06/23 11:08:00 AM,4.3,2.9,27.67,,,,,
80,06/06/23 11:08:05 AM,4.3,2.9,27.59,,,,,
81,06/06/23 11:08:10 AM,2.7,2.9,27.57,,,,,
82,06/06/23 11:08:15 AM,4.3,2.9,27.46,,,,,
83,06/06/23 11:08:20 AM,2.7,2.9,27.40,,,,,
84,06/06/23 11:08:25 AM,2.8,8.7,27.35,,,,,
85,06/06/23 11:08:30 AM,2.8,2.9,27.29,,,,,
86,06/06/23 11:08:35 AM,2.7,2.9,27.23,,,,,
87,06/06/23 11:08:40 AM,4.1,2.9,27.19,,,,,
88,06/06/23 11:08:45 AM,2.8,2.9,27.16,,,,,
89,06/06/23 11:08:50 AM,2.7,2.9,27.15,,,,,
90,06/06/23 11:08:55 AM,2.7,6.5,27.15,,,,,
91,06/06/23 11:09:00 AM,2.8,8.7,27.14,,,,,
92,06/06/23 11:09:05 AM,2.8,2.9,27.12,,,,,
93,06/06/23 11:09:10 AM,4.1,2.9,27.08,,,,,
94,06/06/23 11:09:15 AM,2.8,2.9,27.07,,,,,
95,06/06/23 11:09:20 AM,2.7,2.9,27.08,,,,,
96,06/06/23 11:09:25 AM,2.7,2.9,27.10,,,,,
97,06/06/23 11:09:30 AM,2.7,2.9,27.08,,,,,
98,06/06/23 11:09:35 AM,2.8,2.9,27.08,,,,,
99,06/06/23 11:09:40 AM,4.3,2.9,27.10,,,,,
100,06/06/23 11:09:45 AM,2.8,2.9,27.08,,,,,
101,06/06/23 11:09:50 AM,4.1,2.9,27.08,,,,,
102,06/06/23 11:09:55 AM,2.7,2.9,27.08,,,,,
103,06/06/23 11:10:00 AM,4.3,8.7,27.08,,,,,
104,06/06/23 11:10:05 AM,2.8,2.9,27.06,,,,,
105,06/06/23 11:10:10 AM,4.3,8.7,27.05,,,,,
106,06/06/23 11:10:15 AM,2.7,8.7,27.03,,,,,
107,06/06/23 11:10:20 AM,2.8,2.9,27.05,,,,,
108,06/06/23 11:10:25 AM,2.7,2.9,27.01,,,,,
109,06/06/23 11:10:30 AM,4.1,2.9,26.95,,,,,
110,06/06/23 11:10:35 AM,2.8,2.9,26.94,,,,,
111,06/06/23 11:10:40 AM,2.8,2.9,26.94,,,,,
112,06/06/23 11:10:45 AM,2.8,2.9,26.93,,,,,
113,06/06/23 11:10:50 AM,2.7,6.5,26.90,,,,,
114,06/06/23 11:10:55 AM,120.4,122.5,23.12,,,,,
115,06/06/23 11:11:00 AM,94.6,100.4,24.76,,,,,
116,06/06/23 11:11:05 AM,99.8,106.6,25.07,,,,,
117,06/06/23 11:11:10 AM,104.0,111.5,25.10,,,,,
118,06/06/23 11:11:15 AM,100.7,107.4,25.17,,,,,
119,06/06/23 11:11:20 AM,99.3,105.5,25.19,,,,,
120,06/06/23 11:11:25 AM,101.0,107.4,25.18,,,,,
121,06/06/23 11:11:30 AM,101.2,108.1,25.06,,,,,
122,06/06/23 11:11:35 AM,101.5,108.5,25.02,,,,,
123,06/06/23 11:11:40 AM,102.1,109.3,24.96,,,,,
124,06/06/23 11:11:45 AM,102.4,110.4,24.89,,,,,
125,06/06/23 11:11:50 AM,103.1,110.7,25.04,,,,,
126,06/06/23 11:11:55 AM,103.6,111.5,25.13,,,,,
127,06/06/23 11:12:00 AM,103.1,111.5,24.94,,,,,
128,06/06/23 11:12:05 AM,103.6,111.5,24.88,,,,,
129,06/06/23 11:12:10 AM,103.4,111.5,24.96,,,,,
130,06/06/23 11:12:15 AM,104.2,111.5,24.98,,,,,
131,06/06/23 11:12:20 AM,103.7,111.5,24.93,,,,,
132,06/06/23 11:12:25 AM,103.7,111.5,24.85,,,,,
133,06/06/23 11:12:30 AM,103.6,111.5,24.75,,,,,
134,06/06/23 11:12:35 AM,104.0,111.9,24.68,,,,,
135,06/06/23 11:12:40 AM,103.0,111.2,24.59,,,,,
136,06/06/23 11:12:45 AM,103.1,110.8,24.58,,,,,
137,06/06/23 11:12:50 AM,103.4,111.5,24.63,,,,,
138,06/06/23 11:12:55 AM,103.5,111.5,24.45,,,,,
139,06/06/23 11:13:00 AM,103.9,111.9,24.43,,,,,
140,06/06/23 11:13:05 AM,103.2,111.2,24.29,,,,,
141,06/06/23 11:13:10 AM,103.4,111.6,24.19,,,,,
142,06/06/23 11:13:15 AM,103.6,112.3,24.12,,,,,
143,06/06/23 11:13:20 AM,104.5,112.7,24.38,,,,,
144,06/06/23 11:13:25 AM,109.0,110.4,21.18,,,,,
145,06/06/23 11:13:30 AM,108.9,110.5,20.91,,,,,
146,06/06/23 11:13:35 AM,109.0,110.5,20.78,,,,,
147,06/06/23 11:13:40 AM,108.8,110.1,20.69,,,,,
148,06/06/23 11:13:45 AM,108.9,110.1,20.66,,,,,
149,06/06/23 11:13:50 AM,108.9,110.1,20.64,,,,,
150,06/06/23 11:13:55 AM,108.8,110.1,20.61,,,,,
151,06/06/23 11:14:00 AM,108.8,110.1,20.57,,,,,
152,06/06/23 11:14:05 AM,108.8,110.1,20.58,,,,,
153,06/06/23 11:14:10 AM,108.7,110.1,20.56,,,,,
154,06/06/23 11:14:15 AM,108.8,110.1,20.57,,,,,
155,06/06/23 11:14:20 AM,108.7,109.8,20.54,,,,,
156,06/06/23 11:14:25 AM,108.7,109.8,20.53,,,,,
157,06/06/23 11:14:30 AM,108.8,110.1,20.53,,,,,
158,06/06/23 11:14:35 AM,108.8,110.1,20.52,,,,,
159,06/06/23 11:14:40 AM,108.8,109.8,20.50,,,,,
160,06/06/23 11:14:45 AM,108.7,109.8,20.52,,,,,
161,06/06/23 11:14:50 AM,108.8,110.1,20.52,,,,,
162,06/06/23 11:14:55 AM,108.7,109.8,20.49,,,,,
163,06/06/23 11:15:00 AM,108.8,109.8,20.49,,,,,
164,06/06/23 11:15:05 AM,108.8,109.8,20.49,,,,,
165,06/06/23 11:15:10 AM,108.7,109.8,20.48,,,,,
166,06/06/23 11:15:15 AM,108.7,109.8,20.48,,,,,
167,06/06/23 11:15:20 AM,108.8,109.8,20.48,,,,,
168,06/06/23 11:15:25 AM,108.7,109.8,20.47,,,,,
169,06/06/23 11:15:30 AM,108.8,109.8,20.47,,,,,
170,06/06/23 11:15:35 AM,108.8,109.8,20.47,,,,,
171,06/06/23 11:15:40 AM,108.8,109.8,20.45,,,,,
172,06/06/23 11:15:45 AM,108.8,109.8,20.47,,,,,
173,06/06/23 11:15:50 AM,108.8,109.8,20.47,,,,,
174,06/06/23 11:15:55 AM,108.8,109.8,20.47,,,,,
175,06/06/23 11:16:00 AM,108.9,109.8,20.45,,,,,
176,06/06/23 11:16:05 AM,108.8,109.8,20.45,,,,,
177,06/06/23 11:16:10 AM,108.8,109.8,20.45,,,,,
178,06/06/23 11:16:15 AM,108.8,109.4,20.45,,,,,
179,06/06/23 11:16:20 AM,108.8,109.8,20.44,,,,,
180,06/06/23 11:16:25 AM,108.8,109.8,20.45,,,,,
181,06/06/23 11:16:30 AM,108.8,109.8,20.45,,,,,
182,06/06/23 11:16:35 AM,108.8,109.8,20.45,,,,,
183,06/06/23 11:16:40 AM,108.8,109.8,20.44,,,,,
184,06/06/23 11:16:45 AM,108.8,109.4,20.44,,,,,
185,06/06/23 11:16:50 AM,108.8,109.8,20.45,,,,,
186,06/06/23 11:16:55 AM,108.8,109.4,20.45,,,,,
187,06/06/23 11:17:00 AM,108.9,109.8,20.45,,,,,
188,06/06/23 11:17:05 AM,108.8,109.4,20.45,,,,,
189,06/06/23 11:17:10 AM,108.8,109.8,20.45,,,,,
190,06/06/23 11:17:15 AM,108.8,109.8,20.44,,,,,
191,06/06/23 11:17:20 AM,108.8,109.4,20.44,,,,,
192,06/06/23 11:17:25 AM,108.8,109.4,20.44,,,,,
193,06/06/23 11:17:30 AM,108.8,109.4,20.45,,,,,
194,06/06/23 11:17:35 AM,108.8,109.4,20.45,,,,,
195,06/06/23 11:17:40 AM,108.8,109.4,20.44,,,,,
196,06/06/23 11:17:45 AM,108.8,109.4,20.44,,,,,
197,06/06/23 11:17:50 AM,108.8,109.8,20.45,,,,,
198,06/06/23 11:17:55 AM,108.9,109.4,20.45,,,,,
199,06/06/23 11:18:00 AM,108.8,109.4,20.45,,,,,
200,06/06/23 11:18:05 AM,108.8,109.4,20.44,,,,,
201,06/06/23 11:18:10 AM,108.8,109.4,20.45,,,,,
202,06/06/23 11:18:15 AM,108.9,109.4,20.45,,,,,
203,06/06/23 11:18:20 AM,108.8,109.4,20.45,,,,,
204,06/06/23 11:18:25 AM,108.8,109.4,20.45,,,,,
205,06/06/23 11:18:30 AM,108.8,109.4,20.45,,,,,
206,06/06/23 11:18:35 AM,108.8,109.4,20.45,,,,,
207,06/06/23 11:18:40 AM,108.9,109.4,20.45,,,,,
208,06/06/23 11:18:45 AM,108.8,109.4,20.45,,,,,
209,06/06/23 11:18:50 AM,108.9,109.4,20.45,,,,,
210,06/06/23 11:18:55 AM,108.8,109.4,20.45,,,,,
211,06/06/23 11:19:00 AM,108.8,109.4,20.45,,,,,
212,06/06/23 11:19:05 AM,108.8,109.4,20.47,,,,,
213,06/06/23 11:19:10 AM,108.8,109.4,20.47,,,,,
214,06/06/23 11:19:15 AM,108.8,109.4,20.47,,,,,
215,06/06/23 11:19:20 AM,108.9,109.4,20.47,,,,,
216,06/06/23 11:19:25 AM,108.9,109.4,20.45,,,,,
217,06/06/23 11:19:30 AM,108.9,109.4,20.45,,,,,
218,06/06/23 11:19:35 AM,108.9,109.4,20.47,,,,,
219,06/06/23 11:19:40 AM,108.9,109.4,20.47,,,,,
220,06/06/23 11:19:45 AM,108.8,109.4,20.47,,,,,
221,06/06/23 11:19:50 AM,108.9,109.4,20.47,,,,,
222,06/06/23 11:19:55 AM,108.9,109.4,20.47,,,,,
223,06/06/23 11:20:00 AM,108.9,109.4,20.47,,,,,
224,06/06/23 11:20:05 AM,108.9,109.4,20.45,,,,,
225,06/06/23 11:20:10 AM,108.9,109.4,20.47,,,,,
226,06/06/23 11:20:15 AM,108.9,109.4,20.47,,,,,
227,06/06/23 11:20:20 AM,108.9,109.4,20.47,,,,,
228,06/06/23 11:20:25 AM,108.9,109.4,20.47,,,,,
229,06/06/23 11:20:30 AM,108.9,109.4,20.47,,,,,
230,06/06/23 11:20:35 AM,108.9,109.4,20.47,,,,,
231,06/06/23 11:20:40 AM,108.9,109.4,20.47,,,,,
232,06/06/23 11:20:45 AM,108.9,109.4,20.47,,,,,
233,06/06/23 11:20:50 AM,108.9,109.4,20.48,,,,,
234,06/06/23 11:20:55 AM,108.9,109.4,20.48,,,,,
235,06/06/23 11:21:00 AM,108.9,109.0,20.48,,,,,
236,06/06/23 11:21:05 AM,108.9,109.0,20.48,,,,,
237,06/06/23 11:21:10 AM,108.9,109.4,20.48,,,,,
238,06/06/23 11:21:15 AM,108.9,109.0,20.48,,,,,
239,06/06/23 11:21:20 AM,108.9,109.4,20.47,,,,,
240,06/06/23 11:21:25 AM,108.9,109.4,20.47,,,,,
241,06/06/23 11:21:30 AM,108.9,109.4,20.48,,,,,
242,06/06/23 11:21:35 AM,108.9,109.0,20.48,,,,,
243,06/06/23 11:21:40 AM,108.9,109.0,20.48,,,,,
244,06/06/23 11:21:45 AM,108.9,109.0,20.48,,,,,
245,06/06/23 11:21:50 AM,109.0,109.4,20.49,,,,,
246,06/06/23 11:21:55 AM,108.9,109.0,20.48,,,,,
247,06/06/23 11:22:00 AM,108.9,109.0,20.49,,,,,
248,06/06/23 11:22:05 AM,108.9,109.0,20.48,,,,,
249,06/06/23 11:22:10 AM,108.9,109.4,20.48,,,,,
250,06/06/23 11:22:15 AM,108.9,109.4,20.49,,,,,
251,06/06/23 11:22:20 AM,108.9,109.4,20.49,,,,,
252,06/06/23 11:22:25 AM,108.9,109.0,20.49,,,,,
253,06/06/23 11:22:30 AM,108.9,109.4,20.49,,,,,
254,06/06/23 11:22:35 AM,109.0,109.0,20.49,,,,,
255,06/06/23 11:22:40 AM,108.9,109.4,20.49,,,,,
256,06/06/23 11:22:45 AM,108.9,109.0,20.49,,,,,
257,06/06/23 11:22:50 AM,108.9,109.0,20.49,,,,,
258,06/06/23 11:22:55 AM,109.0,109.0,20.49,,,,,
259,06/06/23 11:23:00 AM,108.9,109.4,20.49,,,,,
260,06/06/23 11:23:05 AM,109.0,109.4,20.49,,,,,
261,06/06/23 11:23:10 AM,109.0,109.4,20.49,,,,,
262,06/06/23 11:23:15 AM,108.9,109.0,20.50,,,,,
263,06/06/23 11:23:20 AM,109.0,109.4,20.49,,,,,
264,06/06/23 11:23:25 AM,109.0,109.4,20.49,,,,,
265,06/06/23 11:23:30 AM,108.9,109.4,20.49,,,,,
266,06/06/23 11:23:35 AM,109.0,109.4,20.49,,,,,
267,06/06/23 11:23:40 AM,108.9,109.4,20.49,,,,,
268,06/06/23 11:23:45 AM,109.0,109.4,20.49,,,,,
269,06/06/23 11:23:50 AM,109.0,109.4,20.50,,,,,
270,06/06/23 11:23:55 AM,109.0,109.4,20.49,,,,,
271,06/06/23 11:24:00 AM,109.0,109.0,20.50,,,,,
272,06/06/23 11:24:05 AM,109.0,109.0,20.49,,,,,
273,06/06/23 11:24:10 AM,109.1,109.4,20.49,,,,,
274,06/06/23 11:24:15 AM,109.0,109.4,20.50,,,,,
275,06/06/23 11:24:20 AM,109.1,109.0,20.49,,,,,
276,06/06/23 11:24:25 AM,109.0,109.4,20.50,,,,,
277,06/06/23 11:24:30 AM,109.0,109.4,20.49,,,,,
278,06/06/23 11:24:35 AM,109.1,109.4,20.50,,,,,
279,06/06/23 11:24:40 AM,109.1,109.4,20.50,,,,,
280,06/06/23 11:24:45 AM,109.0,109.4,20.50,,,,,
281,06/06/23 11:24:50 AM,109.0,109.4,20.50,,,,,
282,06/06/23 11:24:55 AM,109.1,109.4,20.50,,,,,
283,06/06/23 11:25:00 AM,109.0,109.4,20.49,,,,,
284,06/06/23 11:25:05 AM,109.0,109.4,20.50,,,,,
285,06/06/23 11:25:10 AM,109.0,109.4,20.50,,,,,
286,06/06/23 11:25:15 AM,109.1,109.4,20.50,,,,,
287,06/06/23 11:25:20 AM,109.1,109.4,20.50,,,,,
288,06/06/23 11:25:25 AM,109.1,109.4,20.50,,,,,
289,06/06/23 11:25:30 AM,109.1,109.0,20.50,,,,,
290,06/06/23 11:25:35 AM,109.1,109.4,20.50,,,,,
291,06/06/23 11:25:40 AM,109.1,109.4,20.50,,,,,
292,06/06/23 11:25:45 AM,109.1,109.4,20.50,,,,,
293,06/06/23 11:25:50 AM,109.1,109.4,20.50,,,,,
294,06/06/23 11:25:55 AM,109.1,109.4,20.50,,,,,
295,06/06/23 11:26:00 AM,109.1,109.4,20.50,,,,,
296,06/06/23 11:26:05 AM,109.1,109.4,20.52,,,,,
297,06/06/23 11:26:10 AM,109.1,109.4,20.52,,,,,
298,06/06/23 11:26:15 AM,109.1,109.4,20.50,,,,,
299,06/06/23 11:26:20 AM,109.1,109.4,20.52,,,,,
300,06/06/23 11:26:25 AM,109.1,109.0,20.52,,,,,
301,06/06/23 11:26:30 AM,109.2,109.4,20.52,,,,,
302,06/06/23 11:26:35 AM,109.1,109.4,20.52,,,,,
303,06/06/23 11:26:40 AM,109.1,109.4,20.52,,,,,
304,06/06/23 11:26:45 AM,109.1,109.4,20.52,,,,,
305,06/06/23 11:26:50 AM,109.2,109.4,20.53,,,,,
306,06/06/23 11:26:55 AM,109.2,109.4,20.53,,,,,
307,06/06/23 11:27:00 AM,109.1,109.4,20.52,,,,,
308,06/06/23 11:27:05 AM,109.2,109.0,20.52,,,,,
309,06/06/23 11:27:10 AM,109.2,109.4,20.53,,,,,
310,06/06/23 11:27:15 AM,109.2,109.4,20.53,,,,,
311,06/06/23 11:27:20 AM,109.2,109.4,20.53,,,,,
312,06/06/23 11:27:25 AM,109.2,109.4,20.53,,,,,
313,06/06/23 11:27:30 AM,109.2,109.4,20.53,,,,,
314,06/06/23 11:27:35 AM,109.2,109.4,20.53,,,,,
315,06/06/23 11:27:40 AM,109.2,109.4,20.53,,,,,
316,06/06/23 11:27:45 AM,109.2,109.4,20.53,,,,,
317,06/06/23 11:27:50 AM,109.2,109.8,20.53,,,,,
318,06/06/23 11:27:55 AM,109.2,109.8,20.53,,,,,
319,06/06/23 11:28:00 AM,109.2,109.4,20.53,,,,,
320,06/06/23 11:28:05 AM,109.2,109.4,20.54,,,,,
321,06/06/23 11:28:10 AM,109.2,109.4,20.53,,,,,
322,06/06/23 11:28:15 AM,109.2,109.4,20.53,,,,,
323,06/06/23 11:28:20 AM,109.2,109.4,20.53,,,,,
324,06/06/23 11:28:25 AM,109.2,109.4,20.54,,,,,
325,06/06/23 11:28:30 AM,109.2,109.4,20.53,,,,,
326,06/06/23 11:28:35 AM,109.2,109.4,20.54,,,,,
327,06/06/23 11:28:40 AM,109.2,109.4,20.54,,,,,
328,06/06/23 11:28:45 AM,109.2,109.0,20.54,,,,,
329,06/06/23 11:28:50 AM,109.2,109.0,20.54,,,,,
330,06/06/23 11:28:55 AM,109.2,109.8,20.54,,,,,
331,06/06/23 11:29:00 AM,109.2,109.8,20.54,,,,,
332,06/06/23 11:29:05 AM,109.2,109.4,20.54,,,,,
333,06/06/23 11:29:10 AM,109.2,109.4,20.54,,,,,
334,06/06/23 11:29:15 AM,109.2,109.4,20.56,,,,,
335,06/06/23 11:29:20 AM,109.2,109.0,20.54,,,,,
336,06/06/23 11:29:25 AM,109.2,109.4,20.54,,,,,
337,06/06/23 11:29:30 AM,109.3,109.4,20.54,,,,,
338,06/06/23 11:29:35 AM,109.3,109.4,20.54,,,,,
339,06/06/23 11:29:40 AM,109.2,109.4,20.54,,,,,
340,06/06/23 11:29:45 AM,109.2,109.8,20.54,,,,,
341,06/06/23 11:29:50 AM,109.2,109.8,20.56,,,,,
342,06/06/23 11:29:55 AM,109.2,109.4,20.54,,,,,
343,06/06/23 11:30:00 AM,109.3,109.4,20.56,,,,,
344,06/06/23 11:30:05 AM,109.2,109.8,20.56,,,,,
345,06/06/23 11:30:10 AM,109.2,109.0,20.56,,,,,
346,06/06/23 11:30:15 AM,109.3,109.8,20.56,,,,,
347,06/06/23 11:30:20 AM,109.2,109.8,20.56,,,,,
348,06/06/23 11:30:25 AM,109.3,109.4,20.56,,,,,
349,06/06/23 11:30:30 AM,109.2,109.4,20.56,,,,,
350,06/06/23 11:30:35 AM,109.4,109.4,20.56,,,,,
351,06/06/23 11:30:40 AM,109.3,109.4,20.56,,,,,
352,06/06/23 11:30:45 AM,109.3,109.8,20.56,,,,,
353,06/06/23 11:30:50 AM,109.3,109.4,20.57,,,,,
354,06/06/23 11:30:55 AM,109.4,109.8,20.56,,,,,
355,06/06/23 11:31:00 AM,109.3,109.0,20.56,,,,,
356,06/06/23 11:31:05 AM,109.3,109.8,20.56,,,,,
357,06/06/23 11:31:10 AM,109.3,109.8,20.57,,,,,
358,06/06/23 11:31:15 AM,109.3,109.8,20.56,,,,,
359,06/06/23 11:31:20 AM,109.3,109.4,20.57,,,,,
360,06/06/23 11:31:25 AM,109.4,109.4,20.56,,,,,
361,06/06/23 11:31:30 AM,109.3,109.8,20.57,,,,,
362,06/06/23 11:31:35 AM,109.4,109.8,20.57,,,,,
363,06/06/23 11:31:40 AM,109.3,109.4,20.57,,,,,
364,06/06/23 11:31:45 AM,109.4,109.4,20.57,,,,,
365,06/06/23 11:31:50 AM,109.4,109.8,20.57,,,,,
366,06/06/23 11:31:55 AM,109.3,109.8,20.57,,,,,
367,06/06/23 11:32:00 AM,109.4,109.4,20.57,,,,,
368,06/06/23 11:32:05 AM,109.3,109.8,20.57,,,,,
369,06/06/23 11:32:10 AM,109.4,109.8,20.57,,,,,
370,06/06/23 11:32:15 AM,109.4,109.4,20.57,,,,,
371,06/06/23 11:32:20 AM,109.4,109.4,20.57,,,,,
372,06/06/23 11:32:25 AM,109.4,109.0,20.57,,,,,
373,06/06/23 11:32:30 AM,109.4,109.8,20.57,,,,,
374,06/06/23 11:32:35 AM,109.4,109.8,20.57,,,,,
375,06/06/23 11:32:40 AM,109.3,109.8,20.57,,,,,
376,06/06/23 11:32:45 AM,109.4,109.8,20.57,,,,,
377,06/06/23 11:32:50 AM,109.4,109.8,20.57,,,,,
378,06/06/23 11:32:55 AM,109.4,109.8,20.57,,,,,
379,06/06/23 11:33:00 AM,109.4,109.8,20.57,,,,,
380,06/06/23 11:33:05 AM,109.4,109.8,20.57,,,,,
381,06/06/23 11:33:10 AM,109.4,109.8,20.57,,,,,
382,06/06/23 11:33:15 AM,109.4,109.8,20.58,,,,,
383,06/06/23 11:33:20 AM,109.4,110.1,20.58,,,,,
384,06/06/23 11:33:25 AM,109.4,109.8,20.57,,,,,
385,06/06/23 11:33:30 AM,109.4,109.8,20.58,,,,,
386,06/06/23 11:33:35 AM,109.4,109.8,20.57,,,,,
387,06/06/23 11:33:40 AM,109.4,109.4,20.58,,,,,
388,06/06/23 11:33:45 AM,109.5,110.1,20.58,,,,,
389,06/06/23 11:33:50 AM,109.6,109.8,20.58,,,,,
390,06/06/23 11:33:55 AM,109.5,109.8,20.58,,,,,
391,06/06/23 11:34:00 AM,109.6,110.1,20.58,,,,,
392,06/06/23 11:34:05 AM,109.7,109.8,20.58,,,,,
393,06/06/23 11:34:10 AM,109.7,110.1,20.58,,,,,
394,06/06/23 11:34:15 AM,109.8,110.1,20.58,,,,,
395,06/06/23 11:34:20 AM,109.8,110.1,20.58,,,,,
396,06/06/23 11:34:25 AM,110.0,110.5,20.60,,,,,
397,06/06/23 11:34:30 AM,110.2,110.5,20.60,,,,,
